ts_code,trade_date,pb
801010.SI,20221010,3.4
801010.SI,20221011,3.41
801010.SI,20221012,3.48
801010.SI,20221013,3.53
801010.SI,20221014,3.52
801010.SI,20221017,3.54
801010.SI,20221018,3.54
801010.SI,20221019,3.42
801010.SI,20221020,3.39
801010.SI,20221021,3.38
801010.SI,20221024,3.29
801010.SI,20221025,3.18
801010.SI,20221026,3.02
801010.SI,20221027,3.03
801010.SI,20221028,2.89
801010.SI,20221031,2.87
801010.SI,20221101,2.97
801010.SI,20221102,2.98
801010.SI,20221103,2.98
801010.SI,20221104,3.02
801010.SI,20221107,3.05
801010.SI,20221108,3.03
801010.SI,20221109,3.0
801010.SI,20221110,3.02
801010.SI,20221111,3.04
801010.SI,20221114,3.04
801010.SI,20221115,3.05
801010.SI,20221116,3.04
801010.SI,20221117,3.06
801010.SI,20221118,3.01
801010.SI,20221121,3.01
801010.SI,20221122,2.97
801010.SI,20221123,2.95
801010.SI,20221124,2.95
801010.SI,20221125,2.97
801010.SI,20221128,2.96
801010.SI,20221129,2.99
801010.SI,20221130,3.02
801010.SI,20221201,3.06
801010.SI,20221202,3.1
801010.SI,20221205,3.12
801010.SI,20221206,3.14
801010.SI,20221207,3.16
801010.SI,20221208,3.08
801010.SI,20221209,3.07
801010.SI,20221212,3.05
801010.SI,20221213,3.13
801010.SI,20221214,3.13
801010.SI,20221215,3.1
801010.SI,20221216,3.1
801010.SI,20221219,3.02
801010.SI,20221220,2.96
801010.SI,20221221,3.0
801010.SI,20221222,3.04
801010.SI,20221223,3.02
801010.SI,20221226,3.04
801010.SI,20221227,3.12
801010.SI,20221228,3.06
801010.SI,20221229,3.04
801010.SI,20221230,3.09
801010.SI,20230103,3.06
801010.SI,20230104,3.06
801010.SI,20230105,3.07
801010.SI,20230106,3.05
801010.SI,20230109,3.1
801010.SI,20230110,3.09
801010.SI,20230111,3.08
801010.SI,20230112,3.06
801010.SI,20230113,3.14
801010.SI,20230116,3.2
801010.SI,20230117,3.18
801010.SI,20230118,3.15
801010.SI,20230119,3.15
801010.SI,20230120,3.16
801010.SI,20230130,3.17
801010.SI,20230131,3.2
801010.SI,20230201,3.25
801010.SI,20230202,3.26
801010.SI,20230203,3.24
801010.SI,20230206,3.25
801010.SI,20230207,3.23
801010.SI,20230208,3.2
801010.SI,20230209,3.21
801010.SI,20230210,3.22
801010.SI,20230213,3.22
801010.SI,20230214,3.2
801010.SI,20230215,3.17
801010.SI,20230216,3.13
801010.SI,20230217,3.13
801010.SI,20230220,3.17
801010.SI,20230221,3.2
801010.SI,20230222,3.22
801010.SI,20230223,3.22
801010.SI,20230224,3.21
801010.SI,20230227,3.2
801010.SI,20230228,3.21
801010.SI,20230301,3.22
801010.SI,20230302,3.2
801010.SI,20230303,3.2
801010.SI,20230306,3.22
801010.SI,20230307,3.14
801010.SI,20230308,3.13
801010.SI,20230309,3.11
801010.SI,20230310,3.08
801010.SI,20230313,3.11
801010.SI,20230314,3.17
801010.SI,20230315,3.18
801010.SI,20230316,3.1
801010.SI,20230317,3.09
801010.SI,20230320,3.04
801010.SI,20230321,3.06
801010.SI,20230322,3.06
801010.SI,20230323,3.06
801010.SI,20230324,3.07
801010.SI,20230327,3.09
801010.SI,20230328,3.12
801010.SI,20230329,3.07
801010.SI,20230330,3.09
801010.SI,20230331,3.14
801010.SI,20230403,3.17
801010.SI,20230404,3.23
801010.SI,20230406,3.22
801010.SI,20230407,3.19
801010.SI,20230410,3.16
801010.SI,20230411,3.16
801010.SI,20230412,3.12
801010.SI,20230413,3.11
801010.SI,20230414,3.09
801010.SI,20230417,3.11
801010.SI,20230418,3.1
801010.SI,20230419,3.1
801010.SI,20230420,3.07
801010.SI,20230421,3.04
801010.SI,20230424,2.99
801010.SI,20230425,2.98
801010.SI,20230426,2.98
801010.SI,20230427,2.96
801010.SI,20230428,2.9
801010.SI,20230504,2.9
801010.SI,20230505,2.87
801010.SI,20230508,2.85
801010.SI,20230509,2.86
801010.SI,20230510,2.84
801010.SI,20230511,2.85
801010.SI,20230512,2.83
801010.SI,20230515,2.82
801010.SI,20230516,2.81
801010.SI,20230517,2.81
801010.SI,20230518,2.75
801010.SI,20230519,2.76
801010.SI,20230522,2.78
801010.SI,20230523,2.75
801010.SI,20230524,2.73
801010.SI,20230525,2.69
801010.SI,20230526,2.69
801010.SI,20230529,2.66
801010.SI,20230530,2.65
801010.SI,20230531,2.62
801010.SI,20230601,2.63
801010.SI,20230602,2.65
801010.SI,20230605,2.63
801010.SI,20230606,2.59
801010.SI,20230607,2.6
801010.SI,20230608,2.66
801010.SI,20230609,2.66
801010.SI,20230612,2.67
801010.SI,20230613,2.66
801010.SI,20230614,2.66
801010.SI,20230615,2.67
801010.SI,20230616,2.7
801010.SI,20230619,2.69
801010.SI,20230620,2.68
801010.SI,20230621,2.65
801010.SI,20230626,2.63
801010.SI,20230627,2.65
801010.SI,20230628,2.64
801010.SI,20230629,2.66
801010.SI,20230630,2.69
801010.SI,20230703,2.7
801010.SI,20230704,2.7
801010.SI,20230705,2.66
801010.SI,20230706,2.67
801010.SI,20230707,2.71
801010.SI,20230710,2.71
801010.SI,20230711,2.71
801010.SI,20230712,2.71
801010.SI,20230713,2.73
801010.SI,20230714,2.72
801010.SI,20230717,2.74
801010.SI,20230718,2.75
801010.SI,20230719,2.76
801010.SI,20230720,2.74
801010.SI,20230721,2.78
801010.SI,20230724,2.74
801010.SI,20230725,2.73
801010.SI,20230726,2.74
801010.SI,20230727,2.76
801010.SI,20230728,2.78
801010.SI,20230731,2.85
801010.SI,20230801,2.81
801010.SI,20230802,2.77
801010.SI,20230803,2.79
801010.SI,20230804,2.78
801010.SI,20230807,2.8
801010.SI,20230808,2.79
801010.SI,20230809,2.76
801010.SI,20230810,2.77
801010.SI,20230811,2.7
801010.SI,20230814,2.68
801010.SI,20230815,2.67
801010.SI,20230816,2.66
801010.SI,20230817,2.68
801010.SI,20230818,2.66
801010.SI,20230821,2.62
801010.SI,20230822,2.62
801010.SI,20230823,2.61
801010.SI,20230824,2.66
801010.SI,20230825,2.66
801010.SI,20230828,2.69
801010.SI,20230829,2.71
801010.SI,20230830,2.68
801010.SI,20230831,2.71
801010.SI,20230901,2.73
801010.SI,20230904,2.75
801010.SI,20230905,2.73
801010.SI,20230906,2.72
801010.SI,20230907,2.69
801010.SI,20230908,2.67
801010.SI,20230911,2.7
801010.SI,20230912,2.74
801010.SI,20230913,2.71
801010.SI,20230914,2.69
801010.SI,20230915,2.69
801010.SI,20230918,2.7
801010.SI,20230919,2.7
801010.SI,20230920,2.72
801010.SI,20230921,2.67
801010.SI,20230922,2.7
801010.SI,20230925,2.7
801010.SI,20230926,2.69
801010.SI,20230927,2.69
801010.SI,20230928,2.65
801010.SI,20231009,2.6
801010.SI,20231010,2.62
801010.SI,20231011,2.6
801010.SI,20231012,2.62
801010.SI,20231013,2.59
801010.SI,20231016,2.59
801010.SI,20231017,2.59
801010.SI,20231018,2.58
801010.SI,20231019,2.5
801010.SI,20231020,2.48
801010.SI,20231023,2.45
801010.SI,20231024,2.48
801010.SI,20231025,2.52
801010.SI,20231026,2.52
801010.SI,20231027,2.58
801010.SI,20231030,2.65
801010.SI,20231031,2.64
801010.SI,20231101,2.65
801010.SI,20231102,2.63
801010.SI,20231103,2.64
801010.SI,20231106,2.63
801010.SI,20231107,2.64
801010.SI,20231108,2.63
801010.SI,20231109,2.62
801010.SI,20231110,2.63
801010.SI,20231113,2.64
801010.SI,20231114,2.65
801010.SI,20231115,2.64
801010.SI,20231116,2.62
801010.SI,20231117,2.63
801010.SI,20231120,2.68
801010.SI,20231121,2.67
801010.SI,20231122,2.68
801010.SI,20231123,2.69
801010.SI,20231124,2.71
801010.SI,20231127,2.72
801010.SI,20231128,2.71
801010.SI,20231129,2.7
