week,week_start,week_end,week_id,open,high,low,close,volume,return
2009-02-12,2009-02-06,2009-02-12,0,2158.08,2381.19,2158.08,2318.34,619885976.0,
2009-02-19,2009-02-13,2009-02-19,1,2321.56,2470.62,2259.59,2298.41,640047560.0,-0.00859666830577066
2009-02-26,2009-02-20,2009-02-26,2,2300.81,2419.53,2167.15,2190.19,533192936.0,-0.047084723787313765
2009-03-05,2009-02-27,2009-03-05,3,2164.54,2340.37,2100.64,2304.92,458727284.0,0.05238358315945191
2009-03-12,2009-03-06,2009-03-12,4,2260.76,2333.98,2156.6,2215.7,355720632.0,-0.03870850181351204
2009-03-19,2009-03-13,2009-03-19,5,2229.25,2386.23,2180.05,2382.56,395026320.0,0.07530802906530676
2009-03-26,2009-03-20,2009-03-26,6,2389.89,2483.83,2343.27,2479.79,546769424.0,0.04080904573232158
2009-04-02,2009-03-27,2009-04-02,7,2501.0,2599.25,2423.57,2576.4,586436384.0,0.038958944104137805
2009-04-10,2009-04-03,2009-04-10,8,2597.92,2612.37,2457.42,2595.53,487804680.0,0.007425089271852148
2009-04-17,2009-04-13,2009-04-17,9,2621.98,2706.63,2619.37,2650.69,595429568.0,0.021251921572857935
2009-04-24,2009-04-20,2009-04-24,10,2643.73,2713.3,2543.91,2572.89,482384272.0,-0.029350848269695917
2009-05-04,2009-04-27,2009-05-04,11,2566.92,2715.19,2485.8,2714.3,401915296.0,0.05496154130180475
2009-05-11,2009-05-05,2009-05-11,12,2733.11,2839.61,2713.23,2725.32,562310968.0,0.0040599786316914965
2009-05-18,2009-05-12,2009-05-18,13,2702.74,2822.71,2699.95,2810.57,418215344.0,0.031280730336254114
2009-05-25,2009-05-19,2009-05-25,14,2836.34,2849.64,2675.28,2752.72,406768908.0,-0.020583013410091278
2009-06-03,2009-05-26,2009-06-03,15,2757.31,2939.39,2715.82,2939.39,469269256.0,0.06781292685053342
2009-06-10,2009-06-04,2009-06-10,16,2924.27,2995.7,2892.72,2989.59,528500328.0,0.017078373404005642
2009-06-17,2009-06-11,2009-06-17,17,2982.97,3017.41,2883.32,3010.59,389007512.0,0.00702437457979177
2009-06-24,2009-06-18,2009-06-24,18,3014.44,3128.53,3014.44,3120.73,523683016.0,0.036584191138614
2009-07-01,2009-06-25,2009-07-01,19,3125.66,3238.79,3103.87,3237.9,422037784.0,0.037545702447824736
2009-07-08,2009-07-02,2009-07-08,20,3248.2,3393.22,3247.57,3352.27,597454328.0,0.03532227678433553
2009-07-15,2009-07-09,2009-07-15,21,3348.22,3497.51,3334.68,3493.3,559879504.0,0.042070000328136015
2009-07-22,2009-07-16,2009-07-22,22,3516.78,3610.33,3482.87,3606.92,618171080.0,0.0325251195144991
2009-07-29,2009-07-23,2009-07-29,23,3613.6,3765.59,3453.64,3558.51,696843008.0,-0.013421423264169952
2009-08-05,2009-07-30,2009-08-05,24,3587.05,3803.06,3511.29,3740.94,678104816.0,0.05126583879207858
2009-08-12,2009-08-06,2009-08-12,25,3707.91,3739.58,3390.36,3397.4,460580540.0,-0.09183253406897729
2009-08-19,2009-08-13,2009-08-19,26,3398.89,3454.95,2982.22,3014.57,426001376.0,-0.11268322835109201
2009-08-26,2009-08-20,2009-08-26,27,3021.25,3241.52,3019.12,3172.39,426116624.0,0.05235240846953282
2009-09-02,2009-08-27,2009-09-02,28,3149.57,3212.27,2795.49,2890.93,380039144.0,-0.08872175236966451
2009-09-09,2009-09-03,2009-09-09,29,2898.45,3207.39,2892.65,3194.91,438089680.0,0.1051495539497671
2009-09-16,2009-09-10,2009-09-16,30,3179.19,3325.74,3150.17,3258.24,409986208.0,0.01982215461468395
2009-09-23,2009-09-17,2009-09-23,31,3274.58,3330.43,3041.42,3060.07,404062604.0,-0.06082117953250821
2009-09-30,2009-09-24,2009-09-30,32,3041.82,3122.05,2923.93,3004.8,241007824.0,-0.018061678327619957
2009-10-15,2009-10-09,2009-10-15,33,3078.75,3287.63,3071.27,3239.64,308086832.0,0.07815495207667711
2009-10-22,2009-10-16,2009-10-22,34,3250.1,3414.66,3188.43,3347.32,367171208.0,0.033238261041350414
2009-10-29,2009-10-23,2009-10-29,35,3354.98,3436.39,3239.0,3247.05,353277712.0,-0.029955307529605735
2009-11-05,2009-10-30,2009-11-05,36,3305.38,3476.34,3198.31,3464.32,393132376.0,0.06691304414776478
2009-11-12,2009-11-06,2009-11-12,37,3491.07,3532.19,3452.61,3499.99,407131184.0,0.010296392942915178
2009-11-19,2009-11-13,2009-11-19,38,3489.54,3653.9,3445.36,3642.44,495925232.0,0.04070011628604653
2009-11-26,2009-11-20,2009-11-26,39,3630.58,3698.13,3472.95,3485.77,578793216.0,-0.04301237631917065
2009-12-03,2009-11-27,2009-12-03,40,3440.34,3607.56,3367.29,3590.88,463259280.0,0.030154026226629993
2009-12-10,2009-12-04,2009-12-10,41,3581.63,3672.8,3530.06,3577.24,434382552.0,-0.0037985117854120176
2009-12-17,2009-12-11,2009-12-17,42,3589.41,3623.27,3475.84,3480.15,327772544.0,-0.027141036106048122
2009-12-24,2009-12-18,2009-12-24,43,3450.04,3453.35,3296.29,3438.82,280825832.0,-0.01187592488829503
2009-12-31,2009-12-25,2009-12-31,44,3434.33,3579.52,3410.67,3575.68,315496988.0,0.03979853554416923
2010-01-08,2010-01-04,2010-01-08,45,3592.47,3597.75,3426.7,3480.13,371524140.0,-0.02672218990513686
2010-01-15,2010-01-11,2010-01-15,46,3593.11,3594.53,3411.81,3482.74,452077712.0,0.0007499719838051089
2010-01-22,2010-01-18,2010-01-22,47,3471.78,3528.39,3293.19,3366.2,409761160.0,-0.03346215910461303
2010-01-29,2010-01-25,2010-01-29,48,3340.01,3372.43,3168.46,3204.16,268546124.0,-0.04813736557542625
2010-02-05,2010-02-01,2010-02-05,49,3198.23,3242.52,3094.57,3153.09,290008880.0,-0.015938654748826386
2010-02-12,2010-02-08,2010-02-12,50,3152.25,3253.2,3133.81,3251.28,177378300.0,0.031140880850213604
2010-02-26,2010-02-22,2010-02-26,51,3248.95,3301.15,3152.93,3281.67,250710008.0,0.009347087916143693
2010-03-05,2010-03-01,2010-03-05,52,3290.01,3345.91,3239.68,3259.76,293137572.0,-0.006676478744054082
2010-03-12,2010-03-08,2010-03-12,53,3268.4,3322.51,3232.12,3233.13,229606540.0,-0.008169313078263518
2010-03-19,2010-03-15,2010-03-19,54,3231.22,3296.41,3169.1,3293.87,207503220.0,0.018786748445005275
2010-03-26,2010-03-22,2010-03-26,55,3297.82,3313.92,3220.59,3275.0,232956216.0,-0.00572882354191262
2010-04-02,2010-03-29,2010-04-02,56,3295.76,3412.2,3293.67,3407.35,331132308.0,0.04041221374045789
2010-04-12,2010-04-06,2010-04-12,57,3422.85,3436.29,3330.3,3351.48,307233980.0,-0.016396906687014767
2010-04-19,2010-04-13,2010-04-19,58,3350.73,3412.94,3175.44,3176.42,336822184.0,-0.05223364006349429
2010-04-26,2010-04-20,2010-04-26,59,3176.41,3237.54,3130.96,3172.0,314294760.0,-0.0013915036424654303
2010-05-04,2010-04-27,2010-05-04,60,3163.1,3163.1,2994.92,3019.45,255279444.0,-0.048092686002522145
2010-05-11,2010-05-05,2010-05-11,61,2981.78,3036.86,2790.7,2800.82,288132912.0,-0.07240722648164388
2010-05-18,2010-05-12,2010-05-18,62,2781.71,2888.09,2686.97,2771.35,257323288.0,-0.010521918580987055
2010-05-25,2010-05-19,2010-05-25,63,2748.95,2886.37,2647.6,2813.94,271897072.0,0.015367961462825042
2010-06-01,2010-05-26,2010-06-01,64,2814.44,2893.69,2710.59,2744.16,235907040.0,-0.02479797010597251
2010-06-08,2010-06-02,2010-06-08,65,2729.33,2787.51,2672.06,2699.34,186602744.0,-0.016332866888227993
2010-06-18,2010-06-09,2010-06-18,66,2711.64,2787.82,2686.61,2696.17,218095152.0,-0.0011743611401305865
2010-06-25,2010-06-21,2010-06-25,67,2698.98,2795.32,2686.32,2736.29,189850348.0,0.01488036733588749
2010-07-02,2010-06-28,2010-07-02,68,2734.51,2751.46,2462.2,2534.1,189939134.0,-0.07389202167898867
2010-07-09,2010-07-05,2010-07-09,69,2507.35,2662.16,2476.49,2647.1,200164254.0,0.04459176828065181
2010-07-16,2010-07-12,2010-07-16,70,2647.42,2689.81,2573.79,2616.13,223883620.0,-0.011699595784065542
2010-07-23,2010-07-19,2010-07-23,71,2592.09,2806.98,2585.01,2793.08,323336876.0,0.0676380760894908
