week,week_start,week_end,week_id,WeekPositive,WeekNeutral,WeekNegative,NewsCount,P_t
2014-10-13,2014-09-30,2014-10-13,275,217,138,101,456,0.6823899371069182
2014-10-20,2014-10-14,2014-10-20,276,330,176,116,622,0.7399103139013453
2014-10-27,2014-10-21,2014-10-27,277,286,181,113,580,0.7167919799498746
2014-11-03,2014-10-28,2014-11-03,278,436,190,132,758,0.7676056338028169
2014-11-10,2014-11-04,2014-11-10,279,295,207,166,668,0.6399132321041214
2014-11-17,2014-11-11,2014-11-17,280,259,204,125,588,0.6744791666666666
2014-11-24,2014-11-18,2014-11-24,281,311,225,104,640,0.7493975903614458
2014-12-01,2014-11-25,2014-12-01,282,277,215,128,620,0.6839506172839506
2014-12-08,2014-12-02,2014-12-08,283,334,217,121,672,0.734065934065934
2014-12-15,2014-12-09,2014-12-15,284,334,172,130,636,0.7198275862068966
2014-12-22,2014-12-16,2014-12-22,285,367,207,145,719,0.716796875
2014-12-29,2014-12-23,2014-12-29,286,311,184,135,630,0.6973094170403588
2015-01-07,2014-12-30,2015-01-07,287,347,185,141,673,0.7110655737704918
2015-01-14,2015-01-08,2015-01-14,288,355,154,125,634,0.7395833333333334
2015-01-21,2015-01-15,2015-01-21,289,329,143,120,592,0.732739420935412
2015-01-28,2015-01-22,2015-01-28,290,354,136,123,613,0.7421383647798742
2015-02-04,2015-01-29,2015-02-04,291,337,152,146,635,0.6977225672877847
2015-02-11,2015-02-05,2015-02-11,292,309,141,119,569,0.7219626168224299
2015-02-25,2015-02-12,2015-02-25,293,294,131,89,514,0.7676240208877284
2015-03-04,2015-02-26,2015-03-04,294,337,139,90,566,0.7892271662763466
2015-03-11,2015-03-05,2015-03-11,295,285,132,117,534,0.7089552238805971
2015-03-18,2015-03-12,2015-03-18,296,305,161,119,585,0.7193396226415094
2015-03-25,2015-03-19,2015-03-25,297,337,143,106,586,0.7607223476297968
2015-04-01,2015-03-26,2015-04-01,298,382,171,129,682,0.7475538160469667
2015-04-09,2015-04-02,2015-04-09,299,317,114,83,514,0.7925
2015-04-16,2015-04-10,2015-04-16,300,329,116,133,578,0.7121212121212122
2015-04-23,2015-04-17,2015-04-23,301,334,125,111,570,0.750561797752809
2015-04-30,2015-04-24,2015-04-30,302,302,167,107,576,0.7383863080684596
2015-05-08,2015-05-04,2015-05-08,303,303,156,127,586,0.7046511627906977
2015-05-15,2015-05-11,2015-05-15,304,314,131,149,594,0.6781857451403888
2015-05-22,2015-05-18,2015-05-22,305,294,117,134,545,0.6869158878504673
2015-05-29,2015-05-25,2015-05-29,306,296,149,123,568,0.7064439140811456
2015-06-05,2015-06-01,2015-06-05,307,303,133,148,584,0.6718403547671841
2015-06-12,2015-06-08,2015-06-12,308,352,180,155,687,0.6942800788954635
2015-06-19,2015-06-15,2015-06-19,309,254,134,124,512,0.671957671957672
2015-06-29,2015-06-23,2015-06-29,310,310,147,85,542,0.7848101265822784
2015-07-06,2015-06-30,2015-07-06,311,288,110,99,497,0.7441860465116279
2015-07-13,2015-07-07,2015-07-13,312,426,105,205,736,0.6751188589540412
2015-07-20,2015-07-14,2015-07-20,313,387,122,148,657,0.7233644859813084
2015-07-27,2015-07-21,2015-07-27,314,322,94,96,512,0.7703349282296651
2015-08-03,2015-07-28,2015-08-03,315,359,95,96,550,0.789010989010989
2015-08-10,2015-08-04,2015-08-10,316,349,121,80,550,0.8135198135198135
2015-08-17,2015-08-11,2015-08-17,317,309,148,91,548,0.7725
2015-08-24,2015-08-18,2015-08-24,318,367,147,106,620,0.7758985200845666
2015-08-31,2015-08-25,2015-08-31,319,295,146,98,539,0.7506361323155216
2015-09-09,2015-09-01,2015-09-09,320,344,132,113,589,0.7527352297592997
2015-09-16,2015-09-10,2015-09-16,321,332,130,91,553,0.7848699763593381
2015-09-23,2015-09-17,2015-09-23,322,417,144,93,654,0.8176470588235294
2015-09-30,2015-09-24,2015-09-30,323,367,124,106,597,0.7758985200845666
2015-10-14,2015-10-08,2015-10-14,324,400,173,126,699,0.7604562737642585
2015-10-21,2015-10-15,2015-10-21,325,390,170,134,694,0.7442748091603053
