rank,trade_date,P_t,E_P_t,H1t,H2t,H2t_formula_raw,H2t_strength,H3t_formula_raw,H3t,WeekPositive,WeekNegative,NewsCount
1,2015-09-16,0.9032258064516129,0.754242904545617,0.14898290190599583,0.19354838709677424,0.8064516129032258,0.8646874107907507,0.8646874107907506,0.8646874107907507,112,12,553
2,2014-11-24,0.9130434782608695,0.7711904388892915,0.141853039371578,0.17391304347826086,0.8260869565217391,0.905348210850327,0.882603722554662,0.8613473559589632,147,14,640
3,2015-05-15,0.8769230769230769,0.7894016114863807,0.08752146543669626,0.24615384615384617,0.7538461538461538,0.7557522123893805,0.5920850699927475,0.4391263077102665,114,16,594
4,2014-12-01,0.891156462585034,0.8162715849522048,0.07488487763282925,0.217687074829932,0.782312925170068,0.8147011016796099,0.6019928695558091,0.4032016678734087,131,16,620
5,2015-05-29,0.9,0.8311336333256037,0.06886636667439627,0.19999999999999996,0.8,0.8513274336283186,0.6110028746201271,0.3864022214059834,90,10,568
6,2015-06-12,0.9358974358974359,0.8835162511075181,0.05238118478991782,0.1282051282051282,0.8717948717948718,1.0,0.6596198601351213,0.34151004201966373,146,10,687
7,2015-05-08,0.8571428571428571,0.7806447433545125,0.07649811378834459,0.2857142857142857,0.7142857142857143,0.6738305941845766,0.501732141555467,0.3408937110714486,108,18,586
8,2015-03-11,0.848314606741573,0.776944790940966,0.07136981580060697,0.3033707865168539,0.6966292134831461,0.6372675748235062,0.4629921539622796,0.30011918947567007,151,27,534
9,2015-03-25,0.8669527896995708,0.8108826597980765,0.05607012990149429,0.2660944206008584,0.7339055793991416,0.7144593414106117,0.4805582208652563,0.2619607347039841,202,31,586
10,2014-11-17,0.8226950354609929,0.7511962916745287,0.07149874378646415,0.35460992907801414,0.6453900709219859,0.5311617397853513,0.3861446886464378,0.2506157832885853,116,25,588
