natural_week,natural_week_start,natural_week_end,herd_trade_date,P_t,H1t,H2t,H3t,H3t_mean_in_week,herd_rows_in_week,price_week_close_date,open,high,low,close,volume,trading_days,Ret_t
2014-10-20/2014-10-26,2014-10-20,2014-10-26,2014-10-20,0.7427184466019418,-0.1044153113598417,0.5145631067961165,0.1391927490144971,0.1391927490144971,1,2014-10-24,2448.45,2459.25,2385.73,2390.71,454800216.0,5,-0.020895021153034876
2014-10-27/2014-11-02,2014-10-27,2014-11-02,2014-10-27,0.7327188940092166,-0.0622072082726459,0.5345622119815668,0.0647526191308842,0.0647526191308842,1,2014-10-31,2377.54,2512.19,2361.68,2508.33,762768336.0,5,0.049198773586089484
2014-11-03/2014-11-09,2014-11-03,2014-11-09,2014-11-03,0.725,-0.0491903661909806,0.55,0.0404651634554042,0.0404651634554042,1,2014-11-07,2515.82,2541.55,2482.98,2502.15,972952128.0,5,-0.0024637906495555972
2014-11-10/2014-11-16,2014-11-10,2014-11-16,2014-11-10,0.8043478260869565,0.042455051443721,0.3913043478260869,0.1246488304310021,0.1246488304310021,1,2014-11-14,2529.83,2607.52,2514.71,2581.09,1119863216.0,5,0.03154886797354273
2014-11-17/2014-11-23,2014-11-17,2014-11-23,2014-11-17,0.8226950354609929,0.0714987437864641,0.3546099290780141,0.2506157832885853,0.2506157832885853,1,2014-11-21,2613.51,2614.09,2522.84,2583.46,680744440.0,5,0.0009182167223924509
2014-11-24/2014-11-30,2014-11-24,2014-11-30,2014-11-24,0.9130434782608696,0.141853039371578,0.1739130434782608,0.8613473559589632,0.8613473559589632,1,2014-11-28,2614.16,2809.54,2602.94,2808.82,1387202272.0,5,0.0872318518575863
2014-12-01/2014-12-07,2014-12-01,2014-12-07,2014-12-01,0.891156462585034,0.0748848776328292,0.217687074829932,0.4032016678734087,0.4032016678734087,1,2014-12-05,2825.61,3195.8,2804.29,3124.88,2144803584.0,5,0.1125241204491565
2014-12-08/2014-12-14,2014-12-08,2014-12-14,2014-12-08,0.8869047619047619,0.0290940613062986,0.2261904761904761,0.1456864030959999,0.1456864030959999,1,2014-12-12,3108.27,3387.83,3058.19,3193.23,2210512608.0,5,0.02187283991705269
2014-12-15/2014-12-21,2014-12-15,2014-12-21,2014-12-15,0.8562874251497006,-0.0221625094032139,0.2874251497005988,0.0908394590770824,0.0908394590770824,1,2014-12-19,3176.83,3397.18,3143.3,3383.17,1863640224.0,5,0.059482091800465486
2014-12-22/2014-12-28,2014-12-22,2014-12-28,2014-12-22,0.8215962441314554,-0.0652517878436361,0.3568075117370892,0.2260441288401765,0.2260441288401765,1,2014-12-26,3396.25,3455.21,3188.49,3445.84,1931401024.0,5,0.01852404697369625
2014-12-29/2015-01-04,2014-12-29,2015-01-04,2014-12-29,0.8865248226950354,0.0225385992522973,0.226950354609929,0.1098505671066645,0.1098505671066645,1,2014-12-31,3502.18,3542.34,3405.84,3533.71,1099183680.0,3,0.02550031342140091
2015-01-05/2015-01-11,2015-01-05,2015-01-11,2015-01-07,0.8682634730538922,0.0054351595836538,0.2634730538922155,0.0154778334656388,0.0154778334656388,1,2015-01-09,3566.09,3689.75,3536.4,3546.72,1837337216.0,5,0.003681682990398061
2015-01-12/2015-01-18,2015-01-12,2015-01-18,2015-01-14,0.8862559241706162,0.0280879329130953,0.2274881516587678,0.1397469695677689,0.1397469695677689,1,2015-01-16,3531.51,3662.16,3461.32,3635.15,1170227584.0,5,0.024932895745928718
2015-01-19/2015-01-25,2015-01-19,2015-01-25,2015-01-21,0.7788944723618091,-0.0867656436509406,0.4422110552763819,0.2014230645840464,0.2014230645840464,1,2015-01-23,3414.01,3627.81,3325.68,3571.73,1514302496.0,5,-0.01744632271020452
2015-01-26/2015-02-01,2015-01-26,2015-02-01,2015-01-28,0.7836538461538461,-0.0713308269164921,0.4326923076923077,0.1739020994782231,0.1739020994782231,1,2015-01-30,3580.12,3616.26,3431.94,3434.39,1151753616.0,5,-0.038451954655027154
2015-02-02/2015-02-08,2015-02-02,2015-02-08,2015-02-04,0.6944444444444444,-0.1348224844905964,0.6111111111111112,0.0,0.0,1,2015-02-06,3360.19,3487.95,3285.93,3312.42,1022428944.0,5,-0.03551431258534987
2015-02-09/2015-02-15,2015-02-09,2015-02-15,2015-02-11,0.83125,0.0454378282173211,0.3375,0.1666804974114908,0.1666804974114908,1,2015-02-13,3305.73,3509.5,3298.6,3469.83,833448352.0,5,0.047521147680547715
2015-02-23/2015-03-01,2015-02-23,2015-03-01,2015-02-25,0.7763975155279503,0.0043368247879254,0.4472049689440993,0.0047564087257761,0.0047564087257761,1,2015-02-27,3529.55,3594.81,3456.87,3572.84,617654208.0,3,0.014342819505326121
2015-03-02/2015-03-08,2015-03-02,2015-03-08,2015-03-04,0.8056872037914692,0.034250752259909,0.3886255924170616,0.1004020299948512,0.1004020299948512,1,2015-03-06,3603.45,3608.69,3467.68,3478.52,1108733456.0,5,-0.026399167049182215
2015-03-09/2015-03-15,2015-03-09,2015-03-15,2015-03-11,0.848314606741573,0.0713698158006069,0.3033707865168539,0.30011918947567,0.30011918947567,1,2015-03-13,3449.7,3641.39,3417.49,3617.66,1129685296.0,5,0.03999977001713373
2015-03-16/2015-03-22,2015-03-16,2015-03-22,2015-03-18,0.8131313131313131,-0.002281018383935,0.3737373737373737,0.0,0.0,1,2015-03-20,3641.77,3916.86,3621.12,3892.57,1855619136.0,5,0.07599111027570316
2015-03-23/2015-03-29,2015-03-23,2015-03-29,2015-03-25,0.8669527896995708,0.0560701299014942,0.2660944206008584,0.2619607347039841,0.2619607347039841,1,2015-03-27,3923.08,3993.03,3883.78,3971.7,1885182496.0,5,0.020328471934994097
2015-03-30/2015-04-05,2015-03-30,2015-04-05,2015-04-01,0.7842465753424658,-0.0492749029985157,0.4315068493150684,0.1191405794655675,0.1191405794655675,1,2015-04-03,3999.02,4170.56,3999.02,4170.54,1854249792.0,5,0.05006420424503366
2015-04-06/2015-04-12,2015-04-06,2015-04-12,2015-04-09,0.8221153846153846,-0.006045936613346,0.3557692307692307,0.0135699836520999,0.0135699836520999,1,2015-04-10,4213.89,4351.69,4197.02,4344.42,1661929440.0,4,0.04169244270526118
2015-04-13/2015-04-19,2015-04-13,2015-04-19,2015-04-16,0.784688995215311,-0.0369225204818726,0.430622009569378,0.0882570531358774,0.0882570531358774,1,2015-04-17,4394.05,4630.27,4335.63,4596.14,2316145728.0,5,0.057940990972327855
2015-04-20/2015-04-26,2015-04-20,2015-04-26,2015-04-23,0.7848101265822784,-0.0296908096359045,0.430379746835443,0.0699263692323856,0.0699263692323856,1,2015-04-24,4615.03,4782.04,4492.6,4702.64,2670551744.0,5,0.023171617922865817
2015-04-27/2015-05-03,2015-04-27,2015-05-03,2015-04-30,0.7309644670050761,-0.0630008034337838,0.5380710659898478,0.0626026881831793,0.0626026881831793,1,2015-04-30,4753.87,4839.08,4695.79,4749.89,1916499520.0,4,0.01004754776040695
2015-05-04/2015-05-10,2015-05-04,2015-05-10,2015-05-08,0.8571428571428571,0.0764981137883445,0.2857142857142857,0.3408937110714486,0.3408937110714486,1,2015-05-08,4757.64,4795.92,4445.59,4558.4,1814504320.0,5,-0.040314617812202136
2015-05-11/2015-05-17,2015-05-11,2015-05-17,2015-05-15,0.8769230769230769,0.0875214654366962,0.2461538461538461,0.4391263077102665,0.4391263077102665,1,2015-05-15,4582.09,4758.0,4535.15,4617.47,1787779072.0,5,0.012958494208494375
2015-05-18/2015-05-24,2015-05-18,2015-05-24,2015-05-22,0.859504132231405,0.0470440003180828,0.28099173553719,0.2085891665739791,0.2085891665739791,1,2015-05-22,4582.06,4951.99,4565.06,4951.33,1708048416.0,5,0.07230366412775813
2015-05-25/2015-05-31,2015-05-25,2015-05-31,2015-05-29,0.9,0.0688663666743962,0.1999999999999999,0.3864022214059834,0.3864022214059834,1,2015-05-29,4949.11,5226.84,4665.52,4840.83,2424192544.0,5,-0.022317235974980476
2015-06-01/2015-06-07,2015-06-01,2015-06-07,2015-06-05,0.8976377952755905,0.0242452787012558,0.2047244094488188,0.1259963007115425,0.1259963007115425,1,2015-06-05,4862.76,5288.34,4835.77,5230.55,2273463680.0,5,0.08050685522937195
2015-06-08/2015-06-14,2015-06-08,2015-06-14,2015-06-12,0.935897435897436,0.0523811847899178,0.1282051282051282,0.3415100420196637,0.3415100420196637,1,2015-06-12,5259.41,5380.43,5202.59,5335.12,2472376288.0,5,0.01999216143617777
2015-06-15/2015-06-21,2015-06-15,2015-06-21,2015-06-19,0.8775510204081632,-0.0207088204429446,0.2448979591836735,0.0952596979143702,0.0952596979143702,1,2015-06-19,5354.01,5362.45,4634.69,4637.05,2007046080.0,5,-0.13084429216212567
2015-06-29/2015-07-05,2015-06-29,2015-07-05,2015-06-29,0.8629032258064516,-0.0398683370888457,0.2741935483870967,0.1787585078407606,0.1787585078407606,1,2015-07-03,4446.84,4526.13,3785.9,3885.92,2370792256.0,5,-0.10384000701076279
2015-07-06/2015-07-12,2015-07-06,2015-07-12,2015-07-06,0.8974358974358975,0.003938528088987,0.2051282051282051,0.009498730193416,0.009498730193416,1,2015-07-10,4218.27,4218.27,3537.83,4106.56,2913519040.0,5,0.05677934697574849
2015-07-13/2015-07-19,2015-07-13,2015-07-19,2015-07-13,0.8787878787878788,-0.0146590160991082,0.2424242424242424,0.0644183789918075,0.0644183789918075,1,2015-07-17,4132.23,4278.16,3856.32,4151.5,2040109056.0,5,0.010943466064053498
2015-07-20/2015-07-26,2015-07-20,2015-07-26,2015-07-20,0.8295454545454546,-0.0496240510641432,0.3409090909090909,0.1805703293568379,0.1805703293568379,1,2015-07-24,4157.06,4299.65,4081.7,4176.28,1736511520.0,5,0.005968926893893611
2015-07-27/2015-08-02,2015-07-27,2015-08-02,2015-07-27,0.8208092485549133,-0.0463588655890073,0.3583815028901734,0.1572454991004392,0.1572454991004392,1,2015-07-31,4097.8,4156.31,3627.42,3816.7,1519480000.0,5,-0.08610054881377682
2015-08-03/2015-08-09,2015-08-03,2015-08-09,2015-08-03,0.8152866242038217,-0.0413579956272143,0.3694267515923567,0.1333126103349067,0.1333126103349067,1,2015-08-07,3766.07,3962.28,3742.58,3906.94,997153696.0,5,0.023643461629156093
2015-08-10/2015-08-16,2015-08-10,2015-08-16,2015-08-10,0.7951219512195122,-0.0409853503035048,0.4097560975609756,0.1100078677950229,0.1100078677950229,1,2015-08-14,3947.47,4113.16,3932.84,4073.54,1380190880.0,5,0.042642067705160436
2015-08-17/2015-08-23,2015-08-17,2015-08-23,2015-08-17,0.8009950248756219,-0.0141957947553036,0.3980099502487562,0.0358404484506292,0.0358404484506292,1,2015-08-21,4058.11,4103.05,3578.17,3589.54,1276024880.0,5,-0.1188155756418251
2015-08-24/2015-08-30,2015-08-24,2015-08-30,2015-08-24,0.7731481481481481,-0.0349050640653192,0.4537037037037037,0.0724877645133353,0.0724877645133353,1,2015-08-28,3454.6,3468.15,2952.01,3342.29,1406581952.0,5,-0.0688806922335452
2015-08-31/2015-09-06,2015-08-31,2015-09-06,2015-08-31,0.6947368421052632,-0.1014010950065127,0.6105263157894737,0.000818214634147,0.000818214634147,1,2015-09-02,3307.4,3387.02,3190.58,3365.83,980498336.0,3,0.007043075256784936
2015-09-07/2015-09-13,2015-09-07,2015-09-13,2015-09-09,0.7480916030534351,-0.0179088885337012,0.5038167938931297,0.0236689089263437,0.0236689089263437,1,2015-09-11,3347.29,3426.65,3170.81,3347.19,832721968.0,5,-0.005538009941084332
2015-09-14/2015-09-20,2015-09-14,2015-09-20,2015-09-16,0.9032258064516128,0.1489829019059958,0.1935483870967742,0.8646874107907507,0.8646874107907507,1,2015-09-18,3367.64,3373.92,3131.37,3251.27,785028264.0,5,-0.02865687337737033
2015-09-21/2015-09-27,2015-09-21,2015-09-27,2015-09-23,0.8323699421965318,0.052569342256917,0.3352601156069364,0.1958138653189015,0.1958138653189015,1,2015-09-25,3222.6,3371.41,3201.91,3231.95,615612616.0,5,-0.005942293319226022
2015-09-28/2015-10-04,2015-09-28,2015-10-04,2015-09-30,0.8148148148148148,0.0202087663631039,0.3703703703703703,0.0609224071896562,0.0609224071896562,1,2015-09-30,3226.61,3246.55,3159.04,3202.95,239929456.0,3,-0.00897291109082754
2015-10-12/2015-10-18,2015-10-12,2015-10-18,2015-10-14,0.7817460317460317,-0.0428795098830668,0.4365079365079365,0.1000607506883103,0.1000607506883103,1,2015-10-16,3351.14,3537.54,3347.25,3534.07,899131200.0,5,0.05806677604397459
2015-10-19/2015-10-25,2015-10-19,2015-10-25,2015-10-21,0.7920353982300885,-0.0410037505721593,0.415929203539823,0.1066859613040669,0.1066859613040669,1,2015-10-23,3548.95,3601.24,3417.41,3571.24,1051307984.0,5,0.010517618496520997
