feature,gain,split,gain_share
month_11,4.041383722098544,40,0.5061441616771297
Ret_lag1,1.2344142529182136,41,0.15459842721422104
month_5,1.1072415327653289,18,0.13867127595708723
Ret_lag2,0.6237086122855544,32,0.07811346172596383
Ret_roll_std_5,0.4459004297386855,34,0.0558447093176211
Ret_roll_mean_5,0.1337452009320259,3,0.0167502908060728
Ret_lag4,0.13069337885826826,10,0.016368079654812028
quarter_4,0.10120820067822933,3,0.012675346715291197
Ret_roll_std_3,0.07357582915574312,8,0.00921465986120119
Ret_lag5,0.05826082965359092,8,0.007296604532350268
Ret_roll_mean_3,0.022892599925398827,2,0.002867076376463016
month_4,0.007848730310797691,1,0.000982977439550272
month_2,0.0037761700805276632,1,0.0004729287222363709
Ret_lag3,0.0,0,0.0
month_1,0.0,0,0.0
month_3,0.0,0,0.0
month_6,0.0,0,0.0
month_7,0.0,0,0.0
month_8,0.0,0,0.0
month_9,0.0,0,0.0
month_10,0.0,0,0.0
month_12,0.0,0,0.0
quarter_1,0.0,0,0.0
quarter_2,0.0,0,0.0
quarter_3,0.0,0,0.0
