natural_week,natural_week_start,natural_week_end,herd_trade_date,P_t,H1t,H2t,H3t,H3t_mean_in_week,herd_rows_in_week,price_week_close_date,open,high,low,close,volume,trading_days,Ret_t,H3_lag1,H3_lag2,H3_lag3,H3_lag4,H3_lag5,P_t_lag1,P_t_lag2,P_t_lag3,H3_roll_mean_3,H3_roll_std_3,H3_roll_mean_5,H3_roll_std_5,P_t_roll_mean_3,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_1,quarter_2,quarter_3,quarter_4
2014-11-24/2014-11-30,2014-11-24,2014-11-30,2014-11-24,0.9130434782608696,0.141853039371578,0.1739130434782608,0.8613473559589632,0.8613473559589632,1,2014-11-28,2614.16,2809.54,2602.94,2808.82,1387202272.0,5,0.0872318518575863,0.2506157832885853,0.1246488304310021,0.0404651634554042,0.0647526191308842,0.1391927490144971,0.8226950354609929,0.8043478260869565,0.725,0.13857659239166387,0.08635704051202077,0.12393502906407458,0.07314519414369959,0.7840142871826498,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2014-12-01/2014-12-07,2014-12-01,2014-12-07,2014-12-01,0.891156462585034,0.0748848776328292,0.217687074829932,0.4032016678734087,0.4032016678734087,1,2014-12-05,2825.61,3195.8,2804.29,3124.88,2144803584.0,5,0.1125241204491565,0.8613473559589632,0.2506157832885853,0.1246488304310021,0.0404651634554042,0.0647526191308842,0.9130434782608696,0.8226950354609929,0.8043478260869565,0.41220398989285023,0.32172891359440575,0.2683659504529678,0.3052847142271695,0.8466954466029396,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2014-12-08/2014-12-14,2014-12-08,2014-12-14,2014-12-08,0.8869047619047619,0.0290940613062986,0.2261904761904761,0.1456864030959999,0.1456864030959999,1,2014-12-12,3108.27,3387.83,3058.19,3193.23,2210512608.0,5,0.02187283991705269,0.4032016678734087,0.8613473559589632,0.2506157832885853,0.1246488304310021,0.0404651634554042,0.891156462585034,0.9130434782608696,0.8226950354609929,0.5050549357069857,0.2595237042357814,0.3360557602014727,0.28976076821581187,0.8756316587689655,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2014-12-15/2014-12-21,2014-12-15,2014-12-21,2014-12-15,0.8562874251497006,-0.0221625094032139,0.2874251497005988,0.0908394590770824,0.0908394590770824,1,2014-12-19,3176.83,3397.18,3143.3,3383.17,1863640224.0,5,0.059482091800465486,0.1456864030959999,0.4032016678734087,0.8613473559589632,0.2506157832885853,0.1246488304310021,0.8869047619047619,0.891156462585034,0.9130434782608696,0.47007847564279065,0.2959696273001091,0.35710000812959186,0.27072454760174247,0.8970349009168886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2014-12-22/2014-12-28,2014-12-22,2014-12-28,2014-12-22,0.8215962441314554,-0.0652517878436361,0.3568075117370892,0.2260441288401765,0.2260441288401765,1,2014-12-26,3396.25,3455.21,3188.49,3445.84,1931401024.0,5,0.01852404697369625,0.0908394590770824,0.1456864030959999,0.4032016678734087,0.8613473559589632,0.2506157832885853,0.8562874251497006,0.8869047619047619,0.891156462585034,0.213242510015497,0.1361749072764357,0.3503381338588079,0.276800078981511,0.8781162165464989,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2014-12-29/2015-01-04,2014-12-29,2015-01-04,2014-12-29,0.8865248226950354,0.0225385992522973,0.226950354609929,0.1098505671066645,0.1098505671066645,1,2014-12-31,3502.18,3542.34,3405.84,3533.71,1099183680.0,3,0.02550031342140091,0.2260441288401765,0.0908394590770824,0.1456864030959999,0.4032016678734087,0.8613473559589632,0.8215962441314554,0.8562874251497006,0.8869047619047619,0.1541899970044196,0.05552362268113923,0.34542380296912617,0.2787382707346476,0.8549294770619725,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2015-01-05/2015-01-11,2015-01-05,2015-01-11,2015-01-07,0.8682634730538922,0.0054351595836538,0.2634730538922155,0.0154778334656388,0.0154778334656388,1,2015-01-09,3566.09,3689.75,3536.4,3546.72,1837337216.0,5,0.003681682990398061,0.1098505671066645,0.2260441288401765,0.0908394590770824,0.1456864030959999,0.4032016678734087,0.8865248226950354,0.8215962441314554,0.8562874251497006,0.1422447183413078,0.05976125532537225,0.1951244451986664,0.11387999829179758,0.8548028306587305,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-01-12/2015-01-18,2015-01-12,2015-01-18,2015-01-14,0.8862559241706162,0.0280879329130953,0.2274881516587678,0.1397469695677689,0.1397469695677689,1,2015-01-16,3531.51,3662.16,3461.32,3635.15,1170227584.0,5,0.024932895745928718,0.0154778334656388,0.1098505671066645,0.2260441288401765,0.0908394590770824,0.1456864030959999,0.8682634730538922,0.8865248226950354,0.8215962441314554,0.11712417647082661,0.08611705302213588,0.11757967831711243,0.06892617820864477,0.8587948466267944,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-01-19/2015-01-25,2015-01-19,2015-01-25,2015-01-21,0.7788944723618091,-0.0867656436509406,0.4422110552763819,0.2014230645840464,0.2014230645840464,1,2015-01-23,3414.01,3627.81,3325.68,3571.73,1514302496.0,5,-0.01744632271020452,0.1397469695677689,0.0154778334656388,0.1098505671066645,0.2260441288401765,0.0908394590770824,0.8862559241706162,0.8682634730538922,0.8865248226950354,0.0883584567133574,0.05295997012688588,0.11639179161146622,0.06848129038170549,0.8803480733065147,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-01-26/2015-02-01,2015-01-26,2015-02-01,2015-01-28,0.7836538461538461,-0.0713308269164921,0.4326923076923077,0.1739020994782231,0.1739020994782231,1,2015-01-30,3580.12,3616.26,3431.94,3434.39,1151753616.0,5,-0.038451954655027154,0.2014230645840464,0.1397469695677689,0.0154778334656388,0.1098505671066645,0.2260441288401765,0.7788944723618091,0.8862559241706162,0.8682634730538922,0.11888262253915134,0.07733217517789691,0.13850851271285902,0.07426989240024932,0.8444712898621058,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-02-02/2015-02-08,2015-02-02,2015-02-08,2015-02-04,0.6944444444444444,-0.1348224844905964,0.6111111111111112,0.0,0.0,1,2015-02-06,3360.19,3487.95,3285.93,3312.42,1022428944.0,5,-0.03551431258534987,0.1739020994782231,0.2014230645840464,0.1397469695677689,0.0154778334656388,0.1098505671066645,0.7836538461538461,0.7788944723618091,0.8862559241706162,0.17169071121001278,0.02522766804745364,0.12808010684046833,0.06422857344493149,0.8162680808954237,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-02-09/2015-02-15,2015-02-09,2015-02-15,2015-02-11,0.83125,0.0454378282173211,0.3375,0.1666804974114908,0.1666804974114908,1,2015-02-13,3305.73,3509.5,3298.6,3469.83,833448352.0,5,0.047521147680547715,0.0,0.1739020994782231,0.2014230645840464,0.1397469695677689,0.0154778334656388,0.6944444444444444,0.7836538461538461,0.7788944723618091,0.1251083880207565,0.08917560370771471,0.10610999341913543,0.08280738670491071,0.7523309209867,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-02-23/2015-03-01,2015-02-23,2015-03-01,2015-02-25,0.7763975155279503,0.0043368247879254,0.4472049689440993,0.0047564087257761,0.0047564087257761,1,2015-02-27,3529.55,3594.81,3456.87,3572.84,617654208.0,3,0.014342819505326121,0.1666804974114908,0.0,0.1739020994782231,0.2014230645840464,0.1397469695677689,0.83125,0.6944444444444444,0.7836538461538461,0.11352753229657131,0.08033020737810609,0.13635052620830584,0.07094711394224626,0.7697827635327635,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
