feature,gain,split,gain_share
P_t_roll_mean_3,0.1830757879652083,15,0.2816096224249081
H3_roll_std_3,0.1262097805738449,14,0.19413757028583895
P_t_lag2,0.08044408359273802,27,0.12374016388870512
P_t_lag3,0.0720302972040372,25,0.11079796528111997
H3_lag1,0.0629258054686943,25,0.09679331448345221
P_t_lag1,0.03963602805742994,21,0.060968667783623656
H3_roll_std_5,0.03472598174994346,21,0.05341596896906029
H3_lag2,0.014846747682895511,18,0.022837465596557416
H3_lag5,0.009787618153495714,8,0.015055444978715095
quarter_4,0.008300025961943902,15,0.012767210799628786
H3_lag3,0.00674230299773626,11,0.010371100529293709
H3_lag4,0.005454844998894259,16,0.008390715438662693
H3_roll_mean_3,0.004787489073351026,7,0.007364179639996787
month_5,0.001138080027885735,2,0.0017506099004371755
H3_roll_mean_5,0.0,0,0.0
month_1,0.0,0,0.0
month_2,0.0,0,0.0
month_3,0.0,0,0.0
month_4,0.0,0,0.0
month_6,0.0,0,0.0
month_7,0.0,0,0.0
month_8,0.0,0,0.0
month_9,0.0,0,0.0
month_10,0.0,0,0.0
month_11,0.0,0,0.0
month_12,0.0,0,0.0
quarter_1,0.0,0,0.0
quarter_2,0.0,0,0.0
quarter_3,0.0,0,0.0
