natural_week,natural_week_start,natural_week_end,price_week_close_date,open,high,low,close,volume,trading_days,Ret_t
2009-02-02/2009-02-08,2009-02-02,2009-02-08,2009-02-06,2158.08,2240.02,2158.08,2237.28,106664904.0,1,
2009-02-09/2009-02-15,2009-02-09,2009-02-15,2009-02-13,2271.59,2402.44,2248.48,2399.06,653630976.0,5,0.07231102052492311
2009-02-16/2009-02-22,2009-02-16,2009-02-22,2009-02-20,2421.19,2470.62,2259.59,2344.32,586269728.0,5,-0.02281727009745471
2009-02-23/2009-03-01,2009-02-23,2009-03-01,2009-02-27,2333.81,2419.53,2117.06,2140.49,533637280.0,5,-0.08694632132132152
2009-03-02/2009-03-08,2009-03-02,2009-03-08,2009-03-06,2123.37,2340.37,2100.64,2286.58,457616316.0,5,0.0682507276371298
2009-03-09/2009-03-15,2009-03-09,2009-03-15,2009-03-13,2302.01,2333.98,2156.6,2205.42,323838280.0,5,-0.03549405662605287
2009-03-16/2009-03-22,2009-03-16,2009-03-22,2009-03-20,2197.25,2397.21,2180.05,2379.84,450339960.0,5,0.07908697663030173
2009-03-23/2009-03-29,2009-03-23,2009-03-29,2009-03-27,2384.67,2516.38,2375.52,2498.93,572741232.0,5,0.05004117923894036
2009-03-30/2009-04-05,2009-03-30,2009-04-05,2009-04-03,2501.31,2612.37,2423.57,2570.5,574723056.0,5,0.028640258030437016
2009-04-06/2009-04-12,2009-04-06,2009-04-12,2009-04-10,2570.63,2597.06,2457.42,2595.53,364149464.0,4,0.00973740517409083
2009-04-13/2009-04-19,2009-04-13,2009-04-19,2009-04-17,2621.98,2706.63,2619.37,2650.69,595429568.0,5,0.021251921572857935
2009-04-20/2009-04-26,2009-04-20,2009-04-26,2009-04-24,2643.73,2713.3,2543.91,2572.89,482384272.0,5,-0.029350848269695917
2009-04-27/2009-05-03,2009-04-27,2009-05-03,2009-04-30,2566.92,2640.02,2485.8,2622.93,298998728.0,4,0.01944894651539708
2009-05-04/2009-05-10,2009-05-04,2009-05-10,2009-05-08,2635.13,2800.22,2632.3,2789.22,539863088.0,5,0.06339856572611535
2009-05-11/2009-05-17,2009-05-11,2009-05-17,2009-05-15,2808.14,2839.61,2699.95,2796.12,468744008.0,5,0.0024738098823327004
2009-05-18/2009-05-24,2009-05-18,2009-05-24,2009-05-22,2782.58,2849.64,2719.12,2740.68,407513020.0,5,-0.019827475215655976
2009-05-25/2009-05-31,2009-05-25,2009-05-31,2009-05-27,2684.21,2768.57,2675.28,2759.71,214384336.0,3,0.006943532262066343
2009-06-01/2009-06-07,2009-06-01,2009-06-07,2009-06-05,2798.93,2975.18,2798.93,2939.31,567580624.0,5,0.06507930181069743
2009-06-08/2009-06-14,2009-06-08,2009-06-14,2009-06-12,2937.64,3000.86,2883.32,2906.29,457079360.0,5,-0.01123392905137599
2009-06-15/2009-06-21,2009-06-15,2009-06-21,2009-06-19,2911.42,3086.72,2898.07,3080.0,420623832.0,5,0.059770360149881796
2009-06-22/2009-06-28,2009-06-22,2009-06-28,2009-06-26,3106.39,3141.17,3028.45,3128.42,478191432.0,5,0.01572077922077919
2009-06-29/2009-07-05,2009-06-29,2009-07-05,2009-07-03,3132.11,3327.67,3122.16,3327.14,487451872.0,5,0.06352088274592282
2009-07-06/2009-07-12,2009-07-06,2009-07-12,2009-07-10,3333.1,3428.03,3261.32,3398.31,597988872.0,5,0.02139074400235641
2009-07-13/2009-07-19,2009-07-13,2009-07-19,2009-07-17,3382.57,3543.02,3358.52,3519.81,576486104.0,5,0.035753065494319225
2009-07-20/2009-07-26,2009-07-20,2009-07-26,2009-07-24,3532.52,3687.49,3515.53,3667.56,626669008.0,5,0.041976697605836666
2009-07-27/2009-08-02,2009-07-27,2009-08-02,2009-07-31,3680.15,3765.59,3453.64,3734.62,719690760.0,5,0.01828463610683939
2009-08-03/2009-08-09,2009-08-03,2009-08-09,2009-08-07,3754.22,3803.06,3539.7,3555.09,629573384.0,5,-0.048071825245942
2009-08-10/2009-08-16,2009-08-10,2009-08-16,2009-08-14,3589.72,3613.46,3334.73,3344.46,417233684.0,5,-0.059247445212357475
2009-08-17/2009-08-23,2009-08-17,2009-08-23,2009-08-21,3283.44,3319.8,2982.22,3203.62,416806976.0,5,-0.042111432039851016
2009-08-24/2009-08-30,2009-08-24,2009-08-30,2009-08-28,3222.4,3241.52,3019.12,3046.78,424123744.0,5,-0.048957117261098304
2009-08-31/2009-09-06,2009-08-31,2009-09-06,2009-09-04,3003.54,3099.39,2795.49,3077.14,396038160.0,5,0.009964618383998758
2009-09-07/2009-09-13,2009-09-07,2009-09-13,2009-09-11,3097.79,3253.45,3047.3,3238.13,405203192.0,5,0.05231806157665897
2009-09-14/2009-09-20,2009-09-14,2009-09-20,2009-09-18,3248.35,3330.43,3170.96,3199.69,454552344.0,5,-0.011871049031385361
2009-09-21/2009-09-27,2009-09-21,2009-09-27,2009-09-25,3163.51,3237.22,2989.24,3058.53,323213392.0,5,-0.04411677381246304
2009-09-28/2009-10-04,2009-09-28,2009-10-04,2009-09-30,3066.37,3088.08,2923.93,3004.8,130035228.0,3,-0.017567262704632602
2009-10-05/2009-10-11,2009-10-05,2009-10-11,2009-10-09,3078.75,3164.03,3071.27,3163.71,56871040.0,1,0.05288538338658144
2009-10-12/2009-10-18,2009-10-12,2009-10-18,2009-10-16,3181.58,3287.63,3140.5,3241.71,306852048.0,5,0.024654598556757668
2009-10-19/2009-10-25,2009-10-19,2009-10-25,2009-10-23,3238.85,3436.39,3231.81,3413.25,398260384.0,5,0.0529165162830727
2009-10-26/2009-11-01,2009-10-26,2009-11-01,2009-10-30,3421.7,3432.9,3239.0,3280.37,327199344.0,5,-0.03893063795502827
2009-11-02/2009-11-08,2009-11-02,2009-11-08,2009-11-06,3205.83,3506.03,3198.31,3483.02,424675624.0,5,0.06177656788715913
2009-11-09/2009-11-15,2009-11-09,2009-11-15,2009-11-13,3487.11,3532.19,3445.36,3518.72,406151040.0,5,0.010249725812656818
2009-11-16/2009-11-22,2009-11-16,2009-11-22,2009-11-20,3541.05,3658.21,3541.05,3631.01,499465816.0,5,0.03191217260822121
2009-11-23/2009-11-29,2009-11-23,2009-11-29,2009-11-27,3636.53,3698.13,3367.29,3382.51,573337152.0,5,-0.06843825822567273
2009-11-30/2009-12-06,2009-11-30,2009-12-06,2009-12-04,3415.08,3646.26,3415.08,3643.49,508095496.0,5,0.07715572163866469
2009-12-07/2009-12-13,2009-12-07,2009-12-13,2009-12-11,3644.63,3672.8,3543.42,3575.02,354802560.0,5,-0.01879242155186367
2009-12-14/2009-12-20,2009-12-14,2009-12-20,2009-12-18,3572.53,3623.27,3385.68,3391.74,339332648.0,5,-0.05126684605960252
2009-12-21/2009-12-27,2009-12-21,2009-12-27,2009-12-25,3386.33,3445.7,3296.29,3424.78,261629392.0,5,0.009741312718545725
2009-12-28/2010-01-03,2009-12-28,2010-01-03,2009-12-31,3432.82,3579.52,3432.82,3575.68,268582412.0,4,0.044061224370616436
2010-01-04/2010-01-10,2010-01-04,2010-01-10,2010-01-08,3592.47,3597.75,3426.7,3480.13,371524140.0,5,-0.02672218990513686
