natural_week,natural_week_start,natural_week_end,herd_trade_date,P_t,H1t,H2t,H3t,H3t_mean_in_week,herd_rows_in_week
2014-10-20/2014-10-26,2014-10-20,2014-10-26,2014-10-20,0.7427184466019418,-0.1044153113598417,0.5145631067961165,0.1391927490144971,0.1391927490144971,1
2014-10-27/2014-11-02,2014-10-27,2014-11-02,2014-10-27,0.7327188940092166,-0.0622072082726459,0.5345622119815668,0.0647526191308842,0.0647526191308842,1
2014-11-03/2014-11-09,2014-11-03,2014-11-09,2014-11-03,0.725,-0.0491903661909806,0.55,0.0404651634554042,0.0404651634554042,1
2014-11-10/2014-11-16,2014-11-10,2014-11-16,2014-11-10,0.8043478260869565,0.042455051443721,0.3913043478260869,0.1246488304310021,0.1246488304310021,1
2014-11-17/2014-11-23,2014-11-17,2014-11-23,2014-11-17,0.8226950354609929,0.0714987437864641,0.3546099290780141,0.2506157832885853,0.2506157832885853,1
2014-11-24/2014-11-30,2014-11-24,2014-11-30,2014-11-24,0.9130434782608696,0.141853039371578,0.1739130434782608,0.8613473559589632,0.8613473559589632,1
2014-12-01/2014-12-07,2014-12-01,2014-12-07,2014-12-01,0.891156462585034,0.0748848776328292,0.217687074829932,0.4032016678734087,0.4032016678734087,1
2014-12-08/2014-12-14,2014-12-08,2014-12-14,2014-12-08,0.8869047619047619,0.0290940613062986,0.2261904761904761,0.1456864030959999,0.1456864030959999,1
2014-12-15/2014-12-21,2014-12-15,2014-12-21,2014-12-15,0.8562874251497006,-0.0221625094032139,0.2874251497005988,0.0908394590770824,0.0908394590770824,1
2014-12-22/2014-12-28,2014-12-22,2014-12-28,2014-12-22,0.8215962441314554,-0.0652517878436361,0.3568075117370892,0.2260441288401765,0.2260441288401765,1
2014-12-29/2015-01-04,2014-12-29,2015-01-04,2014-12-29,0.8865248226950354,0.0225385992522973,0.226950354609929,0.1098505671066645,0.1098505671066645,1
2015-01-05/2015-01-11,2015-01-05,2015-01-11,2015-01-07,0.8682634730538922,0.0054351595836538,0.2634730538922155,0.0154778334656388,0.0154778334656388,1
2015-01-12/2015-01-18,2015-01-12,2015-01-18,2015-01-14,0.8862559241706162,0.0280879329130953,0.2274881516587678,0.1397469695677689,0.1397469695677689,1
2015-01-19/2015-01-25,2015-01-19,2015-01-25,2015-01-21,0.7788944723618091,-0.0867656436509406,0.4422110552763819,0.2014230645840464,0.2014230645840464,1
2015-01-26/2015-02-01,2015-01-26,2015-02-01,2015-01-28,0.7836538461538461,-0.0713308269164921,0.4326923076923077,0.1739020994782231,0.1739020994782231,1
2015-02-02/2015-02-08,2015-02-02,2015-02-08,2015-02-04,0.6944444444444444,-0.1348224844905964,0.6111111111111112,0.0,0.0,1
2015-02-09/2015-02-15,2015-02-09,2015-02-15,2015-02-11,0.83125,0.0454378282173211,0.3375,0.1666804974114908,0.1666804974114908,1
2015-02-23/2015-03-01,2015-02-23,2015-03-01,2015-02-25,0.7763975155279503,0.0043368247879254,0.4472049689440993,0.0047564087257761,0.0047564087257761,1
2015-03-02/2015-03-08,2015-03-02,2015-03-08,2015-03-04,0.8056872037914692,0.034250752259909,0.3886255924170616,0.1004020299948512,0.1004020299948512,1
2015-03-09/2015-03-15,2015-03-09,2015-03-15,2015-03-11,0.848314606741573,0.0713698158006069,0.3033707865168539,0.30011918947567,0.30011918947567,1
2015-03-16/2015-03-22,2015-03-16,2015-03-22,2015-03-18,0.8131313131313131,-0.002281018383935,0.3737373737373737,0.0,0.0,1
2015-03-23/2015-03-29,2015-03-23,2015-03-29,2015-03-25,0.8669527896995708,0.0560701299014942,0.2660944206008584,0.2619607347039841,0.2619607347039841,1
2015-03-30/2015-04-05,2015-03-30,2015-04-05,2015-04-01,0.7842465753424658,-0.0492749029985157,0.4315068493150684,0.1191405794655675,0.1191405794655675,1
2015-04-06/2015-04-12,2015-04-06,2015-04-12,2015-04-09,0.8221153846153846,-0.006045936613346,0.3557692307692307,0.0135699836520999,0.0135699836520999,1
2015-04-13/2015-04-19,2015-04-13,2015-04-19,2015-04-16,0.784688995215311,-0.0369225204818726,0.430622009569378,0.0882570531358774,0.0882570531358774,1
2015-04-20/2015-04-26,2015-04-20,2015-04-26,2015-04-23,0.7848101265822784,-0.0296908096359045,0.430379746835443,0.0699263692323856,0.0699263692323856,1
2015-04-27/2015-05-03,2015-04-27,2015-05-03,2015-04-30,0.7309644670050761,-0.0630008034337838,0.5380710659898478,0.0626026881831793,0.0626026881831793,1
2015-05-04/2015-05-10,2015-05-04,2015-05-10,2015-05-08,0.8571428571428571,0.0764981137883445,0.2857142857142857,0.3408937110714486,0.3408937110714486,1
2015-05-11/2015-05-17,2015-05-11,2015-05-17,2015-05-15,0.8769230769230769,0.0875214654366962,0.2461538461538461,0.4391263077102665,0.4391263077102665,1
2015-05-18/2015-05-24,2015-05-18,2015-05-24,2015-05-22,0.859504132231405,0.0470440003180828,0.28099173553719,0.2085891665739791,0.2085891665739791,1
2015-05-25/2015-05-31,2015-05-25,2015-05-31,2015-05-29,0.9,0.0688663666743962,0.1999999999999999,0.3864022214059834,0.3864022214059834,1
