feature,mean_abs_shap,shap_share
H3_roll_std_3,0.01050261653143469,0.2124835947196416
P_t_lag2,0.00823392974694059,0.16658467783360342
H3_roll_std_5,0.006993875730024454,0.1414965358099245
P_t_lag1,0.0055536960191931274,0.11235955255591133
P_t_lag3,0.003417400026593503,0.06913909882096715
P_t_roll_mean_3,0.003104538174992468,0.06280943700004281
H3_lag5,0.002752440576562366,0.05568597750948089
quarter_4,0.0024966456885033295,0.050510865463543164
H3_lag1,0.0016221123875947358,0.03281775261657646
H3_lag3,0.0013778391163278446,0.02787574006024209
H3_lag2,0.0013344144328264651,0.026997193954867396
H3_roll_mean_3,0.0009999177339802747,0.020229826910668283
H3_lag4,0.0009201228695809548,0.018615457807789334
month_5,0.00011834465903699978,0.0023942889367414588
H3_roll_mean_5,0.0,0.0
month_3,0.0,0.0
month_1,0.0,0.0
month_4,0.0,0.0
month_6,0.0,0.0
month_7,0.0,0.0
month_2,0.0,0.0
month_8,0.0,0.0
month_9,0.0,0.0
month_11,0.0,0.0
month_10,0.0,0.0
month_12,0.0,0.0
quarter_1,0.0,0.0
quarter_2,0.0,0.0
quarter_3,0.0,0.0
