signal_date,fwd_date,industry,weight,score
2024-12-31,2025-01-27,801780.SI,0.2,1.3390620066884882
2024-12-31,2025-01-27,801080.SI,0.2,0.8822717051581954
2024-12-31,2025-01-27,801200.SI,0.2,0.7917420929668529
2024-12-31,2025-01-27,801770.SI,0.2,0.596364918110852
2024-12-31,2025-01-27,801880.SI,0.2,0.3715046765175861
2025-01-27,2025-02-28,801780.SI,0.2,1.3496736028603884
2025-01-27,2025-02-28,801890.SI,0.2,0.9157683328333593
2025-01-27,2025-02-28,801880.SI,0.2,0.7923333674387757
2025-01-27,2025-02-28,801080.SI,0.2,0.7372741259822868
2025-01-27,2025-02-28,801050.SI,0.2,0.6834981272603463
2025-02-28,2025-03-31,801750.SI,0.2,1.6257228185004446
2025-02-28,2025-03-31,801890.SI,0.2,1.151612810711825
2025-02-28,2025-03-31,801880.SI,0.2,0.9924672660519461
2025-02-28,2025-03-31,801080.SI,0.2,0.8933777224381871
2025-02-28,2025-03-31,801040.SI,0.2,0.8352778297087615
2025-03-31,2025-04-30,801050.SI,0.2,1.1339484761085945
2025-03-31,2025-04-30,801880.SI,0.2,0.7825857507241487
2025-03-31,2025-04-30,801780.SI,0.2,0.7310271375069282
2025-03-31,2025-04-30,801890.SI,0.2,0.6780361434906474
2025-03-31,2025-04-30,801110.SI,0.2,0.6399652945602832
2025-04-30,2025-05-30,801980.SI,0.2,1.2181850295416914
2025-04-30,2025-05-30,801010.SI,0.2,0.7796877092237431
2025-04-30,2025-05-30,801780.SI,0.2,0.6608846653005103
2025-04-30,2025-05-30,801200.SI,0.2,0.5990195214962085
2025-04-30,2025-05-30,801160.SI,0.2,0.490928919612286
2025-05-30,2025-06-30,801150.SI,0.2,0.8874108171231381
2025-05-30,2025-06-30,801970.SI,0.2,0.8713464238499855
2025-05-30,2025-06-30,801780.SI,0.2,0.8089672177690228
2025-05-30,2025-06-30,801130.SI,0.2,0.6705100500219835
2025-05-30,2025-06-30,801740.SI,0.2,0.6609705167160317
2025-06-30,2025-07-31,801770.SI,0.2,1.1043635672145986
2025-06-30,2025-07-31,801740.SI,0.2,0.9734739566675106
2025-06-30,2025-07-31,801780.SI,0.2,0.8376544193806261
2025-06-30,2025-07-31,801790.SI,0.2,0.7794560773264272
2025-06-30,2025-07-31,801050.SI,0.2,0.6032505650740685
2025-07-31,2025-08-29,801150.SI,0.2,1.3090912749438637
2025-07-31,2025-08-29,801770.SI,0.2,1.268591731421671
2025-07-31,2025-08-29,801040.SI,0.2,0.9738596190025356
2025-07-31,2025-08-29,801710.SI,0.2,0.6935027226471357
2025-07-31,2025-08-29,801790.SI,0.2,0.6142812674656608
2025-08-29,2025-09-30,801770.SI,0.2,1.7304243576824747
2025-08-29,2025-09-30,801080.SI,0.2,1.3922308643254255
2025-08-29,2025-09-30,801230.SI,0.2,0.8687001755575996
2025-08-29,2025-09-30,801050.SI,0.2,0.7475182475817451
2025-08-29,2025-09-30,801730.SI,0.2,0.5883005105847792
2025-09-30,2025-10-31,801730.SI,0.2,1.8625216276292238
2025-09-30,2025-10-31,801080.SI,0.2,1.5271730297654114
2025-09-30,2025-10-31,801050.SI,0.2,0.9420574474086266
2025-09-30,2025-10-31,801180.SI,0.2,0.6327399866704533
2025-09-30,2025-10-31,801890.SI,0.2,0.5457610332346444
2025-10-31,2025-11-28,801050.SI,0.2,1.5652058110384859
2025-10-31,2025-11-28,801730.SI,0.2,1.1516824779748862
2025-10-31,2025-11-28,801950.SI,0.2,0.6696813688820038
2025-10-31,2025-11-28,801040.SI,0.2,0.587720462855229
2025-10-31,2025-11-28,801080.SI,0.2,0.43159663146004046
2025-11-28,2025-12-31,801730.SI,0.2,0.8978829133607577
2025-11-28,2025-12-31,801230.SI,0.2,0.7102442800638067
2025-11-28,2025-12-31,801780.SI,0.2,0.6801469843815335
2025-11-28,2025-12-31,801960.SI,0.2,0.6393614694680522
2025-11-28,2025-12-31,801130.SI,0.2,0.5682458623913684
