,value
n_days,243
n_months,12
cumulative_return,0.14028412686714598
annualized_return,0.14584183484324353
max_drawdown,-0.09867108039445782
sharpe,0.9648012087010576
daily_win_rate,0.5720164609053497
benchmark_cumulative,0.17663134379993406
benchmark_annualized,0.18374109463903987
excess_cumulative,-0.036347216932788085
monthly_win_rate_vs_bench,0.3333333333333333
monthly_ir_vs_bench,-0.12828155730501548
total_turnover,17.2
total_cost,0.005159999999999999
target_return_ok,True
target_dd_ok,True
target_annualized_range,12%-18%
target_max_drawdown,-0.1
