特征,分箱编号,分箱范围,样本数,违约数,正常数,违约率,WOE,IV贡献,特征IV,系数,分箱分数,权重方向
subGrade,0,"(-inf, 3]",81285,4133,77152,0.050845789506058926,1.5374299404034664,0.1817669154230726,0.4867738985042496,-0.6341204586869597,70.32530798294127,正向(降低违约风险)
subGrade,1,"(3, 5]",64388,6085,58303,0.09450518730198174,0.8704827975033275,0.057581110128131704,0.4867738985042496,-0.6341204586869597,39.81773036903958,正向(降低违约风险)
subGrade,2,"(5, 7]",74257,8950,65307,0.12052735769018409,0.5981016697344461,0.03432046633606723,0.4867738985042496,-0.6341204586869597,27.358439577512154,正向(降低违约风险)
subGrade,3,"(7, 8]",39581,5893,33688,0.1488845658270382,0.35403245893815155,0.006940893990180231,0.4867738985042496,-0.6341204586869597,16.194195947718896,正向(降低违约风险)
subGrade,4,"(8, 10]",79716,14208,65508,0.17823272617793165,0.1390230602721078,0.002307250300441966,0.4867738985042496,-0.6341204586869597,6.359209791245032,正向(降低违约风险)
subGrade,5,"(10, 12]",73171,15794,57377,0.21585054188134645,-0.09933062098011872,0.0011617629087541056,0.4867738985042496,-0.6341204586869597,-4.543593388541965,正向(降低违约风险)
subGrade,6,"(12, 14]",67786,17315,50471,0.2554362257693329,-0.3195182900134599,0.011850241165515491,0.4867738985042496,-0.6341204586869597,-14.615444620183782,正向(降低违约风险)
subGrade,7,"(14, 16]",45785,13142,32643,0.28703723927050345,-0.4795267969043901,0.018800192081533725,0.4867738985042496,-0.6341204586869597,-21.934573272018305,正向(降低违约风险)
subGrade,8,"(16, 20]",61120,19957,41163,0.32652159685863874,-0.6653841904443991,0.05053427181632597,0.4867738985042496,-0.6341204586869597,-30.436084851907125,正向(降低违约风险)
subGrade,9,"(20, +inf)",52911,22211,30700,0.41978038593109185,-1.0656690331289191,0.12151079435422657,0.4867738985042496,-0.6341204586869597,-48.74596298222677,正向(降低违约风险)
ficoRangeLow,0,"(-inf, 665]",113255,29851,83404,0.26357335216988215,-0.361866096335416,0.025685815117954428,0.1258132302162268,-0.10535034224955901,-2.749972745085054,正向(降低违约风险)
ficoRangeLow,1,"(665, 670]",55847,13898,41949,0.24885848837001093,-0.284634376231011,0.007674222940158329,0.1258132302162268,-0.10535034224955901,-2.163056403670494,正向(降低违约风险)
ficoRangeLow,2,"(670, 675]",49591,11849,37742,0.23893448407977255,-0.23081396919339764,0.004414675581429866,0.1258132302162268,-0.10535034224955901,-1.754052482104893,正向(降低违约风险)
ficoRangeLow,3,"(675, 680]",49010,11243,37767,0.22940216282391349,-0.17765403338108948,0.0025461040706289493,0.1258132302162268,-0.10535034224955901,-1.350067759317226,正向(降低违约风险)
