特征,重要性,系数
subGrade,0.6341204586869597,-0.6341204586869597
annualIncome,0.19927868029596268,-0.19927868029596268
issueYear,0.1953368354552075,-0.1953368354552075
loanAmnt,0.19160939517182207,-0.19160939517182207
ficoRangeLow,0.10535034224955901,-0.10535034224955901
dti,0.07881462831074981,-0.07881462831074981
n2,0.0778346449999731,-0.0778346449999731
n14,0.061683941466941714,-0.061683941466941714
title,0.02863118019333278,0.02863118019333278
revolUtil,0.027867693403749758,0.027867693403749758
verificationStatus,0.019835721965050224,-0.019835721965050224
