特征,IV值
subGrade,0.48398234677720176
ficoRangeLow,0.12352235804824106
dti,0.07160474723973134
n14,0.04308888859957256
loanAmnt,0.03462823046289615
issueYear,0.03358591675386677
n2,0.030628971616822213
annualIncome,0.029497979540339756
verificationStatus,0.025191298609992172
revolUtil,0.024770882282664962
title,0.021217577923585168
earliesCreditLine,0.016002896931790408
purpose,0.013732067428033288
employmentTitle,0.013021218509174728
n7,0.008650247865682269
employmentLength,0.007040904768898354
n5,0.0048872069082462905
revolBal,0.0038164599833090335
n6,0.003353653396521323
regionCode,0.0028942976578811208
delinquency_2years,0.0020810654425485703
totalAcc,0.0018487980129656431
issueMonth,0.001654493557232766
pubRec,0.0013008987928010986
n0,0.0008869185425700916
postCode,0.000687220420023144
issueDayOfWeek,0.0006789015674323245
pubRecBankruptcies,0.0004881459871039478
homeOwnership,0.00032243898505692197
term,0.0
initialListStatus,0.0
policyCode,0.0
applicationType,0.0
n13,0.0
n11,0.0
n12,0.0
