特征,重要性
incident_severity_1,0.07029778775944603
insured_hobbies,0.06237585835907189
incident_severity_2,0.060287252423225995
total_claim_amount,0.05529515586997024
injury_claim,0.049410317056321214
property_claim,0.043695514605235665
injury_claim_ratio,0.04298521742766196
insured_zip,0.04054392584588523
customer_months,0.037868551669033364
policy_annual_premium,0.03451294064678388
policy_tenure_days,0.03328890422262988
auto_model,0.03209531684359014
net_capital_gain,0.03130580341979007
incident_hour_of_the_day,0.030972221561611536
insured_occupation,0.0268439726044233
auto_make,0.02614000290807836
policy_bind_month,0.02450620752040101
capital-loss,0.024167804191488926
vehicle_age,0.023627974132137113
capital-gains,0.021277663538105576
incident_state,0.020183606014990037
insured_education_level,0.018382743337300857
incident_dayofweek,0.018063352147304156
incident_city,0.01613148702915302
insured_relationship,0.01577266872204844
witnesses,0.015089745043518236
authorities_contacted,0.014786184411868582
bodily_injuries,0.010878157650847977
policy_state,0.01030520232837444
policy_deductable,0.010081460395378874
policy_csl,0.009068560884545244
incident_severity_3,0.008973217241078274
umbrella_limit,0.00868469332605732
number_of_vehicles_involved,0.008565368748269256
collision_type,0.007230258419810493
incident_type_3,0.006249586723501308
incident_type_2,0.004846058316974634
property_damage,0.004688636301123219
incident_year,0.00452338886846648
insured_sex_1,0.003848952361647444
has_capital_activity,0.0038429692876438396
police_report_available,0.0034370509601365385
late_night_accident,0.0030534110632139547
incident_type_1,0.0018148478118561353
