特征,系数,系数绝对值
incident_severity_Minor Damage,-2.1893613963883167,2.1893613963883167
incident_severity_Total Loss,-2.1331796300839785,2.1331796300839785
incident_severity_Trivial Damage,-2.090913217419157,2.090913217419157
total_claim_amount,0.47467773271243896,0.47467773271243896
property_claim,-0.22341203455357778,0.22341203455357778
incident_state,0.2195352887749426,0.2195352887749426
injury_claim_ratio,-0.21875973130351078,0.21875973130351078
witnesses,0.18407393050886664,0.18407393050886664
policy_deductable,0.1839470289637801,0.1839470289637801
incident_type_Single Vehicle Collision,-0.16790863500531436,0.16790863500531436
incident_type_Parked Car,0.1657835515521501,0.1657835515521501
collision_type,-0.16339131139218646,0.16339131139218646
insured_hobbies,-0.14598719947537667,0.14598719947537667
insured_education_level,0.1394840109105134,0.1394840109105134
injury_claim,-0.12726562371605393,0.12726562371605393
auto_make,-0.11909824425120265,0.11909824425120265
incident_type_Vehicle Theft,-0.11610665509233452,0.11610665509233452
property_damage,0.10814578512299373,0.10814578512299373
capital-loss,-0.10746621936614403,0.10746621936614403
has_umbrella,0.10717577208301515,0.10717577208301515
incident_hour_of_the_day,-0.10329886112699682,0.10329886112699682
policy_state,-0.0875102365719024,0.0875102365719024
number_of_vehicles_involved,-0.08466048347792579,0.08466048347792579
late_night_accident,-0.0771190931865411,0.0771190931865411
incident_city,-0.06765230219191913,0.06765230219191913
policy_annual_premium,-0.06552402286539025,0.06552402286539025
police_report_available,0.0626050042901904,0.0626050042901904
capital-gains,-0.05699496018273933,0.05699496018273933
authorities_contacted,-0.051592646868082924,0.051592646868082924
insured_zip,-0.03710717614082871,0.03710717614082871
net_capital_gain,0.03616128000068569,0.03616128000068569
insured_relationship,0.027955678568512308,0.027955678568512308
incident_month,-0.02767371171366352,0.02767371171366352
auto_model,-0.02759337717667223,0.02759337717667223
vehicle_age,-0.02326206318793058,0.02326206318793058
policy_tenure_days,-0.02152151712551266,0.02152151712551266
policy_csl,-0.01521868571650492,0.01521868571650492
policy_bind_month,-0.014792822901980314,0.014792822901980314
has_capital_activity,-0.014636448572830368,0.014636448572830368
incident_dayofweek,-0.010369264672290825,0.010369264672290825
insured_occupation,0.010129826109354246,0.010129826109354246
multi_injury,0.007820226965671867,0.007820226965671867
customer_months,0.007755501312761704,0.007755501312761704
insured_sex_MALE,0.001872011329144076,0.001872011329144076
