date,nav,selected,market_nav
2024-01-31,997000.0000000001,"['sh.688008', 'sh.603993', 'sh.603501']",1000000.0
2024-02-29,1127511.9118614472,"['sh.688008', 'sh.603993', 'sh.603501']",1081269.1708179906
2024-03-31,1217223.4911725218,"['sh.688008', 'sh.603993', 'sh.603501']",1090591.4769556432
2024-04-30,1298532.6438961527,"['sh.688008', 'sh.603993', 'sh.603501']",1113419.6998997543
2024-05-31,1245695.2991922647,"['sh.688008', 'sh.603993', 'sh.603501']",1106960.7475316366
2024-06-30,1304566.4547593435,"['sh.688008', 'sh.603993', 'sh.603501']",1064138.966649384
2024-07-31,1284856.950968401,"['sh.688008', 'sh.603993', 'sh.603501']",1053863.5480641862
2024-08-31,1177649.1221055584,"['sh.688008', 'sh.603993', 'sh.603501']",1019245.1398186338
2024-09-30,1411129.283161684,"['sh.688008', 'sh.603993', 'sh.603501']",1196499.8130568445
2024-10-31,1354691.020599485,"['sh.688008', 'sh.603993', 'sh.603501']",1176176.334337703
2024-11-30,1284691.0388345434,"['sh.688008', 'sh.603993', 'sh.603501']",1192898.7635931843
2024-12-31,1269268.968422982,"['sh.603993', 'sh.688008', 'sh.603501']",1201974.2029203582
2025-01-31,1304275.0034041493,"['sh.688008', 'sh.603259', 'sh.600111']",1165696.436590194
2025-02-28,1430148.2455669502,"['sh.688008', 'sh.601127', 'sh.603259']",1190905.4683006734
2025-03-31,1489996.9989351563,"['sh.688008', 'sh.600111', 'sh.601127']",1196230.4255669669
2025-04-30,1502804.153859993,"['sh.688008', 'sh.603259', 'sh.600111']",1175891.9569688628
2025-05-31,1540732.745175462,"['sh.688008', 'sh.600111', 'sh.603259']",1200440.896090661
2025-06-30,1654483.0635789132,"['sh.688008', 'sh.600111', 'sh.601127']",1235203.8957045819
2025-07-31,1911916.1437033678,"['sh.688008', 'sh.601127', 'sh.603019']",1281386.5652384993
2025-08-31,2412123.7633317728,"['sh.688008', 'sh.601127', 'sh.600031']",1383489.5878794563
2025-09-30,2891439.5394951263,"['sh.688008', 'sh.601012', 'sh.601127']",1392401.0350619005
2025-10-31,2836541.81895741,"['sh.688008', 'sh.601127', 'sh.600031']",1418225.4407508536
2025-11-30,2443922.125716226,"['sh.688008', 'sh.601127', 'sh.600031']",1394487.7122798162
