trade_date,holdings,sold,bought,turnover,cost
2024-01-02,"['601059.SH', '688047.SH', '601127.SH', '002230.SZ', '600026.SH']",[],"['601059.SH', '688047.SH', '601127.SH', '002230.SZ', '600026.SH']",1.0,0.001
2024-01-03,"['688111.SH', '300502.SZ', '300498.SZ', '000625.SZ', '000807.SZ']","['601059.SH', '600026.SH', '688047.SH', '601127.SH', '002230.SZ']","['000807.SZ', '000625.SZ', '688111.SH', '300502.SZ', '300498.SZ']",1.0,0.002
2024-01-04,"['688047.SH', '000408.SZ', '002241.SZ', '300498.SZ', '002709.SZ']","['688111.SH', '300502.SZ', '000807.SZ', '000625.SZ']","['688047.SH', '002709.SZ', '002241.SZ', '000408.SZ']",0.8,0.0016
2024-01-05,"['600926.SH', '300803.SZ', '601059.SH', '002241.SZ', '603501.SH']","['688047.SH', '002709.SZ', '300498.SZ', '000408.SZ']","['300803.SZ', '600926.SH', '601059.SH', '603501.SH']",0.8,0.0016
2024-01-08,"['605117.SH', '300418.SZ', '603893.SH', '302132.SZ', '300498.SZ']","['601059.SH', '002241.SZ', '600926.SH', '603501.SH', '300803.SZ']","['605117.SH', '302132.SZ', '300418.SZ', '603893.SH', '300498.SZ']",1.0,0.002
2024-01-09,"['002463.SZ', '601059.SH', '002230.SZ', '601825.SH', '300498.SZ']","['603893.SH', '605117.SH', '302132.SZ', '300418.SZ']","['601059.SH', '601825.SH', '002230.SZ', '002463.SZ']",0.8,0.0016
2024-01-10,"['605117.SH', '300803.SZ', '601136.SH', '688472.SH', '601127.SH']","['601059.SH', '002463.SZ', '300498.SZ', '601825.SH', '002230.SZ']","['605117.SH', '601136.SH', '688472.SH', '601127.SH', '300803.SZ']",1.0,0.002
2024-01-11,"['605117.SH', '688472.SH', '600009.SH', '300418.SZ', '002241.SZ']","['300803.SZ', '601136.SH', '601127.SH']","['600009.SH', '002241.SZ', '300418.SZ']",0.6,0.0012
2024-01-12,"['300803.SZ', '601136.SH', '300274.SZ', '603893.SH', '600066.SH']","['605117.SH', '002241.SZ', '600009.SH', '300418.SZ', '688472.SH']","['601136.SH', '600066.SH', '300274.SZ', '603893.SH', '300803.SZ']",1.0,0.002
2024-01-15,"['600183.SH', '603019.SH', '600026.SH', '302132.SZ', '603501.SH']","['601136.SH', '600066.SH', '300274.SZ', '603893.SH', '300803.SZ']","['302132.SZ', '603501.SH', '600026.SH', '603019.SH', '600183.SH']",1.0,0.002
2024-01-16,"['300033.SZ', '301269.SZ', '600460.SH', '302132.SZ', '002371.SZ']","['600026.SH', '603501.SH', '600183.SH', '603019.SH']","['002371.SZ', '301269.SZ', '300033.SZ', '600460.SH']",0.8,0.0016
2024-01-17,"['300502.SZ', '300394.SZ', '000977.SZ', '300803.SZ', '002415.SZ']","['302132.SZ', '300033.SZ', '600460.SH', '002371.SZ', '301269.SZ']","['000977.SZ', '300394.SZ', '300803.SZ', '002415.SZ', '300502.SZ']",1.0,0.002
2024-01-18,"['300394.SZ', '300803.SZ', '601059.SH', '300896.SZ', '300502.SZ']","['002415.SZ', '000977.SZ']","['601059.SH', '300896.SZ']",0.4,0.0008
2024-01-19,"['301269.SZ', '605117.SH', '600415.SH', '600460.SH', '002230.SZ']","['601059.SH', '300896.SZ', '300394.SZ', '300803.SZ', '300502.SZ']","['600415.SH', '605117.SH', '600460.SH', '301269.SZ', '002230.SZ']",1.0,0.002
