ts_code,ann_date,end_date,total_revenue_ps,revenue_ps,or_yoy,tr_yoy,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,roe,roe_dt,roe_yearly,roe_avg,roa,fixed_assets,total_fa_trun,debt_to_assets,assets_to_eqt,ocfps,ocf_to_or,ocf_to_profit,q_dtprofit,netprofit_margin,profit_dedt,netprofit_yoy,dt_netprofit_yoy,eps,bps,cfps,grossprofit_margin,update_flag,end_date_dt,ann_date_dt,year,trade_date,adj_close,close,total_share,total_mv,circ_mv,pe,pb,div_yield,hs300_close,hs300_pct_chg,cash_div_tax,stk_div,net_profit,operating_cash_flow,fixed_asset_delta,fcff,F1_profit_cagr,F2_gross_margin,F3_net_margin,F4_light_asset,F5_low_debt,F6_roe,F7_low_expense,F8_ocf_profit,F9_dividend_payout,F10_dividend_yield,F11_fcff_yield,future_fcff_1y,future_fcff_3y,fcff_growth_1y,fcff_growth_3y_ann,future_adj_close_1y,price_return_1y,history_year_count,rebalance_date,in_sz50_year_end,F1_profit_cagr_pos,F1_profit_cagr_z,F2_gross_margin_pos,F2_gross_margin_z,F3_net_margin_pos,F3_net_margin_z,F4_light_asset_pos,F4_light_asset_z,F5_low_debt_pos,F5_low_debt_z,F6_roe_pos,F6_roe_z,F7_low_expense_pos,F7_low_expense_z,F8_ocf_profit_pos,F8_ocf_profit_z,F9_dividend_payout_pos,F9_dividend_payout_z,F10_dividend_yield_pos,F10_dividend_yield_z,F11_fcff_yield_pos,F11_fcff_yield_z,value_equal_weight_score,target_fcff_growth_1y,target_fcff_growth_3y_ann,rule_profit_growth_positive,rule_net_margin_positive,rule_light_asset,rule_debt_control,rule_roe_quality,rule_expense_control,rule_cash_quality,rule_dividend_positive,rule_dividend_yield,rule_fcff_positive,traditional_rule_count,traditional_score
600000.SH,20150319,20141231,6.6038,6.6038,23.1625,23.1625,,23.1164,,20.2461,20.0842,20.2461,20.85,,13929000000.0,9.9887,93.7252,15.9368,10.248,1.5518,309.5626,12108000000.0,38.4475,46650000000.0,14.9162,15.48,2.521,13.1458,-4.1458,,1,2014-12-31,2015-03-19,2014,2014-12-31,7.618443846980149,15.69,1865347.1415,29267296.6501,23413837.3201,3.0219927992781237,0.5795344404281328,0.09936412411834798,3533.705,2.2025,0.757,0.0,46650000000.0,191160775060.91998,0.0,191160775060.91998,0.149162,,38.4475,0.0035642825904277854,93.7252,20.85,23.1164,309.5626,0.3002776675922253,0.09936412411834798,0.6531548757177983,353703829610.355,-144131465101.63,0.8502950173624011,-0.5846601114614954,9.28525436041999,0.21878621762114103,1,2014-12-31,True,0.149162,-0.007633431273739878,,0.14556856762403272,38.4475,1.354178084665542,-0.0035642825904277854,0.8495862533775622,-93.7252,-1.3308610513060632,20.85,1.041061456125565,-23.1164,-0.3611379257722002,309.5626,0.6578457076615348,0.3002776675922253,-0.18709399139087843,0.09936412411834798,2.293491531369922,0.6531548757177983,1.5098571166887524,0.5422602107063663,0.8502950173624011,-0.5846601114614954,True,True,True,False,True,True,True,True,True,True,9,9.005422602107064
600000.SH,20160407,20151231,7.8566,7.8566,18.9713,18.9713,,21.8588,,17.591,17.2285,17.591,18.43,,19062000000.0,8.8842,93.684,15.8328,19.237,2.4484,543.1153,13159000000.0,34.7984,49561000000.0,7.6086,6.24,2.665,15.2924,4.0692,,1,2015-12-31,2016-04-07,2015,2015-12-31,9.28525436041999,18.27,1865347.1415,34079892.2752,34079892.2752,3.4841479776435236,0.607180976198634,0.05546428563069601,3731.0047,-0.9075,0.515,0.1,49561000000.0,358836829610.355,5133000000.0,353703829610.355,0.076086,,34.7984,0.004220611949740117,93.684,18.43,21.8588,543.1153,0.19324577861163228,0.05546428563069601,1.0378666304287174,-194534943987.28204,-339781486977.41,-1.5499938866977618,-0.6535461390128928,9.32736027717928,0.00453470794928057,2,2015-12-31,True,0.076086,0.1765558086677725,,0.003852571770943522,34.7984,1.2216544583443376,-0.004220611949740117,0.8081107833276825,-93.684,-1.254120798080133,18.43,1.0151100716538255,-21.8588,-0.4327780624890351,543.1153,0.7471721157255099,0.19324577861163228,-0.9679270877457655,0.05546428563069601,0.9722498377179689,1.0378666304287174,2.470548500290106,0.43276619992574666,-1.5499938866977618,-0.6535461390128928,True,True,True,False,True,True,True,True,True,True,9,9.004327661999257
600000.SH,20170401,20161231,7.4379,7.4379,9.7182,9.7182,,23.1591,,15.5461,15.1327,15.5461,15.9,,21605000000.0,7.9077,93.633,15.706,-8.881,-1.194,-275.6144,11976000000.0,33.3835,51687000000.0,4.9304,4.29,2.404,15.6364,-0.7991,,1,2016-12-31,2017-04-01,2016,2016-12-30,9.32736027717928,16.21,2161827.9922,35043231.7536,33261004.8809,3.8799335595587685,0.5965158397827683,0.02144229385985321,3310.0808,0.3735,0.2,0.3,51687000000.0,-191991943987.28204,2543000000.0,-194534943987.28204,0.049303999999999994,,33.3835,0.004069403645811064,93.633,15.9,23.1591,-275.6144,0.0831946755407654,0.02144229385985321,-0.5551284349432111,-144131465101.63,-72574868128.98,0.25909730073455195,0.20897715231095848,9.538009077869743,0.02258396742815294,3,2016-12-31,True,0.049303999999999994,0.07287708173587427,,-0.09756969915376158,33.3835,1.281672772849976,-0.004069403645811064,0.8231123950753406,-93.633,-1.3060565102427775,15.9,0.8099558342033079,-23.1591,-0.4899797044508211,-275.6144,-1.6588843479566917,0.0831946755407654,-1.1733324327435077,0.02144229385985321,-0.3455645300581442,-0.5551284349432111,-1.993283965842835,-0.37064119150764,0.25909730073455195,0.20897715231095848,True,True,True,False,True,True,False,True,True,False,7,6.9962935880849235
600000.SH,20180428,20171231,5.7447,5.7447,4.8763,4.8763,,24.343,,13.6782,13.6247,13.6782,14.39,,25140000000.0,7.2144,92.9775,14.2399,-4.79,-0.8343,-200.175,12741000000.0,32.6191,54046000000.0,2.1827,4.56,1.84,13.4738,-3.4053,,1,2017-12-31,2018-04-28,2017,2017-12-29,9.538009077869743,12.59,2935208.0397,36954269.2198,35382638.7488,5.183700585798773,0.7078930277924373,0.010484368297784678,4030.8549,0.2975,0.1,0.0,54046000000.0,-140596465101.63,3535000000.0,-144131465101.63,0.05027727720245245,,32.6191,0.0044640530703061,92.9775,14.39,24.343,-200.175,0.05434782608695652,0.010484368297784678,-0.39002656024491145,-339781486977.41,124526698087.37001,-1.3574414284751992,0.6213266547998701,7.502840715052995,-0.2133745466377025,4,2017-12-31,True,0.05027727720245245,-0.37844223340242533,,-0.25585184959592944,32.6191,1.191900571753802,-0.0044640530703061,0.8965138243162457,-92.9775,-1.276689644908862,14.39,0.3628920012463449,-24.343,-0.8015401750859246,-200.175,-0.7295134546568162,0.05434782608695652,-1.211108577311588,0.010484368297784678,-0.789447965861382,-0.39002656024491145,-1.8204439519170683,-0.4374301323112366,-1.3574414284751992,0.6213266547998701,True,True,True,False,True,True,False,True,True,False,7,6.995625698676887
600000.SH,20190326,20181231,5.8443,5.8443,1.7335,1.7335,,25.1215,,12.4674,12.4069,12.4674,13.08,,26492000000.0,6.6448,92.3941,13.1477,-11.53,-1.9725,-517.8213,12609000000.0,32.9453,55643000000.0,3.0521,2.95,1.85,15.0464,1.3691,,1,2018-12-31,2019-03-26,2018,2018-12-28,7.502840715052995,9.8,2935208.0397,28765038.7891,27541688.621,4.055589575704322,0.4986468999264273,0.04664899779863283,3010.6536,0.6737,0.35,0.0,55643000000.0,-338429486977.41,1352000000.0,-339781486977.41,0.03933804624395565,,32.9453,0.004562401160332334,92.3941,13.08,25.1215,-517.8213,0.18918918918918917,0.04664899779863283,-1.1812307623453098,-72574868128.98,-263468970498.32,0.786407232558244,0.07486430682058078,9.76536500859976,0.3015556879686181,5,2018-12-31,True,0.03933804624395565,-0.46412057994904654,,-0.22433466610981484,32.9453,1.2274785614493955,-0.004562401160332334,0.882130340092755,-92.3941,-1.2286369773783787,13.08,0.03535287751300529,-25.1215,-0.7215842526684949,-517.8213,-2.438066655707808,0.18918918918918917,-1.1035961870847109,0.04664899779863283,0.171774480933844,-1.1812307623453098,-2.8243375582606864,-0.6079946015609037,0.786407232558244,0.07486430682058078,True,True,True,False,True,True,False,True,True,False,7,6.993920053984391
600000.SH,20200425,20191231,6.4966,6.4966,11.6016,11.6016,,22.5772,,11.4901,11.2254,11.4901,12.0,,30383000000.0,6.7055,91.9918,12.4872,-2.34,-0.3599,-98.2308,10440000000.0,31.2059,57554000000.0,5.36,3.43,1.95,16.7335,0.5942,,0,2019-12-31,2020-04-25,2019,2019-12-31,9.76536500859976,12.37,2935208.0397,36308523.4511,34764355.9431,5.0078794915896205,0.5835817377476177,0.06144163576800423,4096.5821,0.3662,0.6,0.0,57554000000.0,-68683868128.979996,3891000000.0,-72574868128.98,0.036489075220267786,,31.2059,0.004953816435258855,91.9918,12.0,22.5772,-98.2308,0.3076923076923077,0.06144163576800423,-0.19988383230930112,124526698087.37001,361441969994.64,2.7158377451828266,1.9934211815229004,8.057580766341095,-0.17488176230532337,6,2019-12-31,True,0.036489075220267786,-0.42722635225579414,,-0.15947457611490107,31.2059,1.070345143747666,-0.004953816435258855,0.98827720488183,-91.9918,-1.2543801456063244,12.0,-0.08002942709175026,-22.5772,-0.4828245760104674,-98.2308,-1.097609711514521,0.3076923076923077,-0.06331317819609782,0.06144163576800423,1.1600268745358153,-0.19988383230930112,-1.0597294304093574,-0.12781256127580928,2.7158377451828266,1.9934211815229004,True,True,True,False,True,True,False,True,True,False,7,6.9987218743872415
600000.SH,20210327,20201231,6.6907,6.6907,2.9871,2.9871,,23.781,,9.7856,9.716,9.7856,10.73,,32364000000.0,6.2596,91.8767,12.3103,4.31,0.6436,189.3805,13360000000.0,30.0396,57910000000.0,-0.9947,0.62,1.88,17.9036,3.868,,1,2020-12-31,2021-03-27,2020,2020-12-31,8.057580766341095,9.68,2935213.4127,28412865.8349,28412865.8349,4.28594721613888,0.45005366330464797,0.05957123036297723,5211.2885,1.9082,0.48,0.0,57910000000.0,126507698087.37001,1981000000.0,124526698087.37001,0.02328514455805797,,30.0396,0.005002804203931751,91.8767,10.73,23.781,189.3805,0.2553191489361702,0.05957123036297723,0.438275740331733,-263468970498.32,,-3.1157629210843267,,7.458473402835127,-0.07435325575743745,7,2020-12-31,True,0.02328514455805797,-0.19259302330173197,,-0.16648003056338787,30.0396,1.1829255728139625,-0.005002804203931751,0.9772477040934667,-91.8767,-1.344076480321082,10.73,-0.07114068079851518,-23.781,-0.4078030436832843,189.3805,-0.02873297819426679,0.2553191489361702,-0.3893276357307974,0.05957123036297723,1.2424767444817737,0.438275740331733,1.3449175822242447,0.19521943009276202,-3.1157629210843267,,True,True,True,False,True,True,True,True,True,True,9,9.001952194300928
600000.SH,20220428,20211231,6.5066,6.5066,-2.7507,-2.7507,,26.169,,8.1032,8.0339,8.1032,8.67,,38708000000.0,5.3743,91.6648,11.9973,-8.76,-1.3467,-434.4093,11286000000.0,28.1524,52550000000.0,-9.1247,-9.26,1.62,18.9872,-3.4918,,1,2021-12-31,2022-04-28,2021,2021-12-31,7.458473402835127,8.53,2935216.5582,25037397.2414,25037397.2414,4.603995927676004,0.39281586557444625,0.05497103466832102,4940.3733,0.3833,0.41,0.0,52550000000.0,-257124970498.32,6344000000.0,-263468970498.32,-0.018883165123041,,28.1524,0.005789167826789803,91.6648,8.67,26.169,-434.4093,0.2530864197530864,0.05497103466832102,-1.0523017546834583,361441969994.64,,2.3718578294476793,,6.995051257055219,-0.06213364595545123,8,2021-12-31,True,-0.018883165123041,-0.42303353657604886,,-0.2566092173720162,28.1524,0.8066046258157075,-0.005789167826789803,0.9872715350836764,-91.6648,-1.4865643993882,8.67,-0.5547822825846923,-26.169,-0.5533608698251209,-434.4093,-1.7859684775176956,0.2530864197530864,-0.6582289164631572,0.05497103466832102,0.7498049066584523,-1.0523017546834583,-3.183234367535651,-0.5780091817913405,2.3718578294476793,,False,True,True,False,True,True,False,True,True,False,6,5.994219908182086
600009.SH,20200328,20191231,5.6798,5.6798,17.5189,17.5189,0.0007,2.4216,-1.9069,16.6977,16.547,16.6977,16.55,18.968,20233855696.47,0.5932,12.702,1.1455,2.5351,0.4463,73.1887,1035636883.85,48.0678,4984816236.15,18.8773,17.72,2.61,16.6088,0.8274,51.2071,1,2019-12-31,2020-03-28,2019,2019-12-31,77.44815761379445,78.75,192695.8448,15174797.778,8611126.6264,29.6736236068178,4.663079669439963,0.010200371762740183,4096.5821,0.3662,0.79,0.0,4984816236.15,4885032361.5248,3566478266.7800007,1318554094.7447996,0.21124986116522337,51.2071,48.0678,0.5519159557257395,12.702,16.55,0.5154000000000003,73.1887,0.30268199233716475,0.010200371762740183,0.008689104883205775,-1217645043.2912,,-1.9234699191669262,,75.1704655300702,-0.02940924812030088,6,2019-12-31,True,0.21124986116522337,-0.12520505349585412,51.2071,1.4854973324896883,48.0678,2.2781290390105715,-0.5519159557257395,-1.1188530069451963,-12.702,2.0404846894900044,16.55,0.4651083940582044,-0.5154000000000003,1.2945321136731407,73.1887,-0.22014108328162668,0.30268199233716475,-0.09442065413021956,0.010200371762740183,-0.8624120414690076,0.008689104883205775,-0.1895968179079671,0.45028390104470345,-1.9234699191669262,,True,True,False,True,True,True,True,True,True,True,9,9.004502839010447
600009.SH,20210327,20201231,2.2333,2.2333,-60.6798,-60.6798,,5.4243,-6.415,-4.138,-4.5146,-4.138,-4.51,-5.0931,19492782029.98,0.2167,10.973,1.1233,-0.6319,-0.2829,,-634224441.79,-27.1545,-1381919631.3,-125.1809,-127.72,-0.66,15.1614,-1.4033,-53.3813,0,2020-12-31,2021-03-27,2020,2020-12-31,75.1704655300702,75.66,192695.8448,14579367.6176,8273242.4197,-113.8946447425306,4.958016115271031,0.0,5211.2885,1.9082,,,-1381919631.3,-1217645043.2912,0.0,-1217645043.2912,-1.251809,-53.3813,-27.1545,0.593972600782947,10.973,-4.51,-0.9907000000000004,,0.0,0.0,-0.008351837166251824,311011093.5072,,1.2554201614179459,,43.96226262495552,-0.4151657527334397,7,2020-12-31,True,-1.251809,-3.0081769448006015,-53.3813,-3.1214823729216215,-27.1545,-2.9147643699370045,-0.593972600782947,-1.3959120057672303,-10.973,2.050806221306009,-4.51,-1.988935093045648,0.9907000000000004,1.2777090803677547,,-0.2980460076824856,0.0,-1.4431572044095944,0.0,-1.0066740809559687,-0.008351837166251824,-0.6426451846211757,-1.1355707238606878,1.2554201614179459,,False,False,False,True,False,True,False,False,False,False,2,1.9886442927613932
