factor,因子,IC均值,IC标准差,IR,年度截面数,IC有效,IR达标,VIF,判定_VIF,β均值,p值均值,t统计量均值,有效截面数,判定_OLS
F2_gross_margin,F2 销售毛利率,0.09961630727038694,0.08478552009348822,1.1749212252640961,3,True,True,3.5305835712486195,保留,0.43996033611073554,0.6813314495864985,0.4257897578197345,3,待定(非线性)
F10_dividend_yield,F10 股息率,0.06841064558086139,0.16822120405919141,0.4066707637886297,3,True,True,1.4453801125327863,保留,1.6178344944258767,0.20080304566791943,1.446135981331322,3,待定(非线性)
F4_light_asset,F4 固资/总资产,0.053981610120769824,0.20251635603952428,0.2665543225732297,3,True,True,1.355200053281163,保留,1.5042012496331847,0.38335197217162365,1.1861198099556773,3,待定(非线性)
F9_dividend_payout,F9 分红率,0.05319035574348661,0.0836500288849018,0.6358677503039128,3,True,True,1.2188595433949918,保留,-2.0265546128797083,0.6424277991102174,-0.40716567101616224,3,待定(非线性)
F3_net_margin,F3 销售净利率,0.022992750616119873,0.12055268623277612,0.19072781632298272,3,True,True,1.9722856088759029,保留,2.3155494340717317,0.4123317126428421,0.9707342211822189,3,待定(非线性)
F6_roe,F6 年平均ROE,0.00202282119468733,0.11549976192627885,0.017513639501933274,3,False,False,2.4934361223273687,保留,2.3319517024486314,0.30225997211292693,1.0943188041427896,3,待定(非线性)
F5_low_debt,F5 资产负债率,-0.007812833791279629,0.10783970132334154,-0.07244858515148454,3,False,False,2.126697632539777,保留,-2.4443234489575687,0.269569558343657,-1.1308728693697219,3,待定(非线性)
F7_low_expense,F7 三费费率/营收,-0.04821474611605072,0.2721464014145858,-0.17716473871313207,3,False,True,2.3680088364491527,保留,-3.978302548888507,0.22401292964399466,-1.6801835565865038,3,待定(非线性)
F1_profit_cagr,F1 年净利润复合增速,-0.051456301938434666,0.06066912887483092,-0.8481463770442745,3,False,True,1.493613320177077,保留,0.24271444356452987,0.9185710058237931,0.10313241150384216,3,待定(非线性)
F11_fcff_yield,F11 FCFF收益率,-0.25563795155321234,0.19048622552957023,-1.3420285414775326,3,False,True,1.5874292582670402,保留,-1.251048829494636,0.6377270431060427,-0.4968092819857128,3,待定(非线性)
F8_ocf_profit,F8 经营现金流净额/净利润,-0.25791164125105376,0.21259098636760101,-1.2131823909211674,3,False,True,1.2284528590033474,保留,-2.821496326541338,0.479837930833579,-0.7361219014160941,3,待定(非线性)
