scheme,样本,group,years,avg_stock_count,fcff_growth_3y_ann_mean,fcff_growth_1y_mean,A组3年FCFF增速均值,B组3年FCFF增速均值,C组3年FCFF增速均值,A-C差值,是否单调A>B>C
方案A_传统规则,测试集,A,4,20.0,0.005216734537595042,0.42165284318257235,0.005216734537595042,0.17114517961295259,0.8101434507931912,-0.8049267162555961,False
方案A_传统规则,测试集,B,4,8.75,0.17114517961295259,1.5906189915345426,0.005216734537595042,0.17114517961295259,0.8101434507931912,-0.8049267162555961,False
方案A_传统规则,测试集,C,4,6.5,0.8101434507931912,3.4239935779330795,0.005216734537595042,0.17114517961295259,0.8101434507931912,-0.8049267162555961,False
方案A_传统规则,训练集,A,4,20.75,-0.1334786229845078,0.10299201185807827,-0.1334786229845078,0.46479811536257076,0.7721036679395861,-0.9055822909240938,False
方案A_传统规则,训练集,B,4,9.25,0.46479811536257076,0.9704819483032434,-0.1334786229845078,0.46479811536257076,0.7721036679395861,-0.9055822909240938,False
方案A_传统规则,训练集,C,4,7.75,0.7721036679395861,-0.8533410297390498,-0.1334786229845078,0.46479811536257076,0.7721036679395861,-0.9055822909240938,False
方案B_LGBM打分,测试集,A,4,14.0,0.689890437983496,2.5467316857567077,0.689890437983496,-0.038234185519258806,0.036099874582697394,0.6537905634007987,False
方案B_LGBM打分,测试集,B,4,11.75,-0.038234185519258806,1.3608917492062786,0.689890437983496,-0.038234185519258806,0.036099874582697394,0.6537905634007987,False
方案B_LGBM打分,测试集,C,4,9.5,0.036099874582697394,-1.3617643054205613,0.689890437983496,-0.038234185519258806,0.036099874582697394,0.6537905634007987,False
方案B_LGBM打分,训练集,A,4,12.75,0.06019176995371167,0.9487469636585433,0.06019176995371167,-0.04582883762987128,0.648652100809806,-0.5884603308560943,False
方案B_LGBM打分,训练集,B,4,13.25,-0.04582883762987128,0.1305549931084624,0.06019176995371167,-0.04582883762987128,0.648652100809806,-0.5884603308560943,False
方案B_LGBM打分,训练集,C,4,11.75,0.648652100809806,-0.8260621087306186,0.06019176995371167,-0.04582883762987128,0.648652100809806,-0.5884603308560943,False
