feature,factor,gain_importance,split_importance,importance_share,因子
F5_low_debt_z,F5_low_debt,170620.36320114136,104,0.4359122567888287,F5 资产负债率
F7_low_expense_z,F7_low_expense,117808.41032028198,112,0.3009847655222605,F7 三费费率/营收
F8_ocf_profit_z,F8_ocf_profit,46664.91936302185,65,0.11922264101866295,F8 经营现金流净额/净利润
F11_fcff_yield_z,F11_fcff_yield,20525.90341949463,22,0.052440943826109414,F11 FCFF收益率
F4_light_asset_z,F4_light_asset,13228.093399047852,17,0.033796013197994315,F4 固资/总资产
F2_gross_margin_z,F2_gross_margin,9087.557615280151,12,0.023217496871140043,F2 销售毛利率
F1_profit_cagr_z,F1_profit_cagr,6125.178802490234,24,0.01564901436694839,F1 年净利润复合增速
F6_roe_z,F6_roe,4164.481365203857,15,0.01063969409161879,F6 年平均ROE
F9_dividend_payout_z,F9_dividend_payout,1882.7988891601562,15,0.0048102998812970124,F9 分红率
F10_dividend_yield_z,F10_dividend_yield,659.513505935669,10,0.0016849689882339138,F10 股息率
F3_net_margin_z,F3_net_margin,642.6580104827881,9,0.00164190544690563,F3 销售净利率
