factor,因子,IC均值,IC标准差,IR,年度截面数,IC有效,IR达标
F2_gross_margin,F2 销售毛利率,0.09533039980126799,0.116590537644196,0.8176512575182255,3,True,True
F10_dividend_yield,F10 股息率,0.06813019392643765,0.1686982566930038,0.40385831615340745,3,True,True
F4_light_asset,F4 固资/总资产,0.05381797883215922,0.2026648621015062,0.26555160202684236,3,True,True
F9_dividend_payout,F9 分红率,0.05319035574348661,0.0836500288849018,0.6358677503039128,3,True,True
F3_net_margin,F3 销售净利率,0.022992750616119873,0.12055268623277612,0.19072781632298272,3,True,True
F6_roe,F6 年平均ROE,0.00202282119468733,0.11549976192627885,0.017513639501933274,3,False,False
F5_low_debt,F5 资产负债率,-0.007812833791279629,0.10783970132334154,-0.07244858515148454,3,False,False
F7_low_expense,F7 三费费率/营收,-0.04821474611605072,0.2721464014145858,-0.17716473871313207,3,False,True
F1_profit_cagr,F1 年净利润复合增速,-0.051456301938434666,0.06066912887483092,-0.8481463770442745,3,False,True
F11_fcff_yield,F11 FCFF收益率,-0.2551779851836573,0.19119998598435378,-1.3346129903538677,3,False,True
F8_ocf_profit,F8 经营现金流净额/净利润,-0.25871068880273085,0.20683860644653837,-1.2507853012658994,3,False,True
