factor,因子,year,IC,p_value,n
F10_dividend_yield,F10 股息率,2014,0.19553502710430073,0.21460940508492085,42
F10_dividend_yield,F10 股息率,2015,-0.12318534178999295,0.4256621248815574,44
F10_dividend_yield,F10 股息率,2016,0.1320408964650052,0.39288588359822674,44
F11_fcff_yield,F11 FCFF收益率,2014,-0.05728871242200795,0.7185742126726403,42
F11_fcff_yield,F11 FCFF收益率,2015,-0.43890063424947146,0.0028789606970544526,44
F11_fcff_yield,F11 FCFF收益率,2016,-0.2693446088794926,0.07705553394307157,44
F1_profit_cagr,F1 年净利润复合增速,2014,-0.11870999108662184,0.45399884748094754,42
F1_profit_cagr,F1 年净利润复合增速,2015,-0.03481324876673713,0.8224889118725194,44
F1_profit_cagr,F1 年净利润复合增速,2016,-0.0008456659619450317,0.9956531300755014,44
F2_gross_margin,F2 销售毛利率,2014,0.10147494947899079,0.5225365633256407,42
F2_gross_margin,F2 销售毛利率,2015,0.20872716312322503,0.17392111560218132,44
F2_gross_margin,F2 销售毛利率,2016,-0.02421091319841184,0.8760358069281333,44
F3_net_margin,F3 销售净利率,2014,0.16214245198930394,0.3049387960617184,42
F3_net_margin,F3 销售净利率,2015,-0.04326990838618745,0.780330877051099,44
F3_net_margin,F3 销售净利率,2016,-0.04989429175475687,0.7477300813136627,44
F4_light_asset,F4 固资/总资产,2014,0.28774005348026904,0.06463323691312495,42
F4_light_asset,F4 固资/总资产,2015,-0.06892177589852008,0.656649828845029,44
F4_light_asset,F4 固资/总资产,2016,-0.05736434108527131,0.7114849434324574,44
F5_low_debt,F5 资产负债率,2014,-0.1198444210355725,0.4496657917579908,42
F5_low_debt,F5 资产负债率,2015,0.0952783650458069,0.5384141018789557,44
F5_low_debt,F5 资产负债率,2016,0.0011275546159267087,0.9942041949258869,44
F6_roe,F6 年平均ROE,2014,0.11093104286524594,0.4843129378546267,42
F6_roe,F6 年平均ROE,2015,0.014235377026074702,0.9269260809481129,44
F6_roe,F6 年平均ROE,2016,-0.11909795630725864,0.44129387265317177,44
F7_low_expense,F7 三费费率/营收,2014,-0.3480269021959323,0.023912771779513408,42
F7_low_expense,F7 三费费率/营收,2015,0.1832276250880902,0.23384356442297694,44
F7_low_expense,F7 三费费率/营收,2016,0.020155038759689922,0.8966790265687725,44
F8_ocf_profit,F8 经营现金流净额/净利润,2014,-0.05016004217884879,0.7524104485616145,42
F8_ocf_profit,F8 经营现金流净额/净利润,2015,-0.46379365052226723,0.001519623767307875,44
F8_ocf_profit,F8 经营现金流净额/净利润,2016,-0.2621783737070765,0.0855694067739952,44
F9_dividend_payout,F9 分红率,2014,0.028441779434405637,0.8580969334710659,42
F9_dividend_payout,F9 分红率,2015,-0.015292998353340222,0.9215133592982213,44
F9_dividend_payout,F9 分红率,2016,0.14642228614939443,0.3429158657305653,44
