scheme,group,hold_year,score_year,score_lag_years,holding_count,tradable_holding_count,annual_return,turnover_cost,holdings,tradable_holdings
方案A_传统规则,A,2018,2016,2,6,6,-0.08833869194707566,0.001,"600048.SH,600406.SH,600519.SH,600690.SH,601186.SH,601390.SH","600048.SH,600406.SH,600519.SH,600690.SH,601186.SH,601390.SH"
方案A_传统规则,A,2019,2017,2,5,5,0.29217829108024773,0.0006,"600519.SH,600690.SH,600887.SH,601186.SH,601390.SH","600519.SH,600690.SH,600887.SH,601186.SH,601390.SH"
方案A_传统规则,A,2020,2018,2,5,5,0.4884347109858842,0.0008,"600031.SH,600406.SH,600519.SH,600690.SH,601390.SH","600031.SH,600406.SH,600519.SH,600690.SH,601390.SH"
方案A_传统规则,A,2021,2019,2,7,7,0.1245386295032378,0.0002857142857142857,"600031.SH,600048.SH,600406.SH,600519.SH,600690.SH,601186.SH,601390.SH","600031.SH,600048.SH,600406.SH,600519.SH,600690.SH,601186.SH,601390.SH"
方案A_传统规则,A,2022,2020,2,7,6,-0.1709587621355394,0.0005,"600031.SH,600406.SH,600519.SH,600585.SH,600690.SH,601186.SH,601390.SH","600031.SH,600406.SH,600519.SH,600585.SH,600690.SH,601390.SH"
方案A_传统规则,A,2023,2021,2,8,8,-0.06436655896347909,0.0005,"600031.SH,600111.SH,600406.SH,600519.SH,600585.SH,600690.SH,600809.SH,600887.SH","600031.SH,600111.SH,600406.SH,600519.SH,600585.SH,600690.SH,600809.SH,600887.SH"
方案A_传统规则,A,2024,2022,2,7,7,0.22988606956926838,0.0007142857142857143,"600111.SH,600406.SH,600690.SH,600809.SH,600887.SH,601857.SH,601919.SH","600111.SH,600406.SH,600690.SH,600809.SH,600887.SH,601857.SH,601919.SH"
方案A_传统规则,B,2018,2016,2,19,17,-0.16950237774782773,0.001,"600016.SH,600028.SH,600029.SH,600104.SH,600196.SH,600518.SH,600547.SH,600585.SH,600637.SH,600703.SH,600887.SH,601088.SH,601166.SH,601318.SH,601328.SH,601398.SH,601766.SH,601988.SH,601998.SH","600016.SH,600028.SH,600029.SH,600104.SH,600196.SH,600518.SH,600547.SH,600585.SH,600703.SH,600887.SH,601088.SH,601166.SH,601318.SH,601328.SH,601398.SH,601766.SH,601988.SH"
方案A_传统规则,B,2019,2017,2,19,18,0.28648186854866275,0.0007222222222222222,"600028.SH,600029.SH,600031.SH,600104.SH,600196.SH,600518.SH,600585.SH,600606.SH,600703.SH,601006.SH,601088.SH,601169.SH,601318.SH,601398.SH,601601.SH,601628.SH,601766.SH,601899.SH,601988.SH","600028.SH,600029.SH,600031.SH,600104.SH,600196.SH,600585.SH,600606.SH,600703.SH,601006.SH,601088.SH,601169.SH,601318.SH,601398.SH,601601.SH,601628.SH,601766.SH,601899.SH,601988.SH"
方案A_传统规则,B,2020,2018,2,20,16,0.15009274005424444,0.001,"600019.SH,600028.SH,600048.SH,600150.SH,600276.SH,600309.SH,600585.SH,600606.SH,600703.SH,600887.SH,601006.SH,601088.SH,601169.SH,601318.SH,601328.SH,601398.SH,601601.SH,601899.SH,601939.SH,601988.SH","600028.SH,600048.SH,600150.SH,600276.SH,600309.SH,600585.SH,600703.SH,600887.SH,601088.SH,601318.SH,601328.SH,601398.SH,601601.SH,601899.SH,601939.SH,601988.SH"
方案A_传统规则,B,2021,2019,2,18,16,-0.08094284509446847,0.00075,"600009.SH,600028.SH,600030.SH,600050.SH,600104.SH,600276.SH,600309.SH,600340.SH,600585.SH,600887.SH,601088.SH,601318.SH,601398.SH,601601.SH,601628.SH,601857.SH,601899.SH,601939.SH","600009.SH,600028.SH,600030.SH,600050.SH,600104.SH,600276.SH,600309.SH,600585.SH,600887.SH,601088.SH,601318.SH,601398.SH,601601.SH,601628.SH,601857.SH,601899.SH"
方案A_传统规则,B,2022,2020,2,18,18,-0.10213647647802415,0.001,"600000.SH,600030.SH,600036.SH,600048.SH,600050.SH,600111.SH,600196.SH,600570.SH,600588.SH,600745.SH,600887.SH,601088.SH,601318.SH,601328.SH,601398.SH,601628.SH,601857.SH,601988.SH","600000.SH,600030.SH,600036.SH,600048.SH,600050.SH,600111.SH,600196.SH,600570.SH,600588.SH,600745.SH,600887.SH,601088.SH,601318.SH,601328.SH,601398.SH,601628.SH,601857.SH,601988.SH"
方案A_传统规则,B,2023,2021,2,17,17,0.06015634950443571,0.001,"600028.SH,600030.SH,600036.SH,600048.SH,600089.SH,600196.SH,600309.SH,600900.SH,601088.SH,601390.SH,601398.SH,601601.SH,601628.SH,601857.SH,601899.SH,601919.SH,601988.SH","600028.SH,600030.SH,600036.SH,600048.SH,600089.SH,600196.SH,600309.SH,600900.SH,601088.SH,601390.SH,601398.SH,601601.SH,601628.SH,601857.SH,601899.SH,601919.SH,601988.SH"
方案A_传统规则,B,2024,2022,2,16,15,0.28861454931987884,0.0008,"600030.SH,600036.SH,600089.SH,600196.SH,600309.SH,600436.SH,600438.SH,600519.SH,600900.SH,601088.SH,601328.SH,601390.SH,601398.SH,601601.SH,601766.SH,601899.SH","600030.SH,600036.SH,600089.SH,600309.SH,600436.SH,600438.SH,600519.SH,600900.SH,601088.SH,601328.SH,601390.SH,601398.SH,601601.SH,601766.SH,601899.SH"
方案A_传统规则,C,2018,2016,2,19,17,-0.22695099398320784,0.001,"600000.SH,600010.SH,600030.SH,600031.SH,600036.SH,600050.SH,600089.SH,600100.SH,600109.SH,600111.SH,600150.SH,600893.SH,601006.SH,601169.SH,601601.SH,601628.SH,601857.SH,601899.SH,601919.SH","600000.SH,600010.SH,600030.SH,600031.SH,600036.SH,600050.SH,600089.SH,600111.SH,600150.SH,600893.SH,601006.SH,601169.SH,601601.SH,601628.SH,601857.SH,601899.SH,601919.SH"
方案A_传统规则,C,2019,2017,2,19,19,0.24129397095289562,0.0007368421052631579,"600000.SH,600010.SH,600016.SH,600019.SH,600030.SH,600036.SH,600048.SH,600050.SH,600089.SH,600111.SH,600150.SH,600340.SH,600406.SH,600547.SH,600893.SH,601166.SH,601328.SH,601857.SH,601919.SH","600000.SH,600010.SH,600016.SH,600019.SH,600030.SH,600036.SH,600048.SH,600050.SH,600089.SH,600111.SH,600150.SH,600340.SH,600406.SH,600547.SH,600893.SH,601166.SH,601328.SH,601857.SH,601919.SH"
方案A_传统规则,C,2020,2018,2,20,19,0.15868788924911748,0.0005263157894736842,"600000.SH,600010.SH,600016.SH,600029.SH,600030.SH,600036.SH,600050.SH,600089.SH,600104.SH,600111.SH,600196.SH,600340.SH,600547.SH,600893.SH,601166.SH,601186.SH,601628.SH,601766.SH,601857.SH,601919.SH","600000.SH,600010.SH,600016.SH,600030.SH,600036.SH,600050.SH,600089.SH,600104.SH,600111.SH,600196.SH,600340.SH,600547.SH,600893.SH,601166.SH,601186.SH,601628.SH,601766.SH,601857.SH,601919.SH"
