trade_date,scheme,group,hold_year,score_year,score_lag_years,holding_count,tradable_holding_count,daily_ret,nav,benchmark_ret,benchmark_nav,excess_nav
2018-01-02,方案A_传统规则,A,2018,2016,2,6,6,0.014444131384375135,1014444.131384375,0.014028,1014027.9999999999,416.1313843751559
2018-01-03,方案A_传统规则,A,2018,2016,2,6,6,0.0023441820522004755,1016822.1731101265,0.005869999999999999,1019980.34436,-3158.1712498734705
2018-01-04,方案A_传统规则,A,2018,2016,2,6,6,0.006511720856116103,1023443.4352617289,0.004237,1024302.0010790534,-858.5658173244447
2018-01-05,方案A_传统规则,A,2018,2016,2,6,6,0.010570565878331587,1034261.8115169089,0.002407,1026767.4959956508,7494.315521258162
2018-01-08,方案A_传统规则,A,2018,2016,2,6,6,0.01207787655741475,1046753.4980044584,0.005173,1032078.9642524364,14674.533752021962
2018-01-09,方案A_传统规则,A,2018,2016,2,6,6,0.00907120892978012,1056248.817682835,0.007004,1039307.6453180605,16941.17236477451
2018-01-10,方案A_传统规则,A,2018,2016,2,6,6,0.0055322852581935296,1062092.2874458863,0.00442,1043901.3851103665,18190.902335519786
2018-01-11,方案A_传统规则,A,2018,2016,2,6,6,0.0013864706446939934,1063564.847224386,-0.0005290000000000001,1043349.161277643,20215.685946742888
2018-01-12,方案A_传统规则,A,2018,2016,2,6,6,-0.0023376631274036885,1061078.5908974267,0.004616,1048165.2610061008,12913.329891325906
2018-01-15,方案A_传统规则,A,2018,2016,2,6,6,0.0009797433005889016,1062118.1755382568,5.6e-05,1048223.9582607171,13894.217277539661
2018-01-16,方案A_传统规则,A,2018,2016,2,6,6,0.010699581601596028,1073482.3956279666,0.007866,1056469.287916396,17013.10771157057
2018-01-17,方案A_传统规则,A,2018,2016,2,6,6,-0.0006718103143515027,1072761.219082309,-0.002432,1053899.9546081834,18861.26447412558
2018-01-18,方案A_传统规则,A,2018,2016,2,6,6,0.009686089544850729,1083152.0803105833,0.005485,1059680.5958592093,23471.48445137404
2018-01-19,方案A_传统规则,A,2018,2016,2,6,6,-0.003461924002299314,1079402.2901256157,0.0032719999999999997,1063147.8707688607,16254.419356754981
2018-01-22,方案A_传统规则,A,2018,2016,2,6,6,0.02211974291465335,1103278.3912846823,0.011948,1075850.361528807,27428.029755875235
2018-01-23,方案A_传统规则,A,2018,2016,2,6,6,0.0023361410619159306,1105855.8052372872,0.010610999999999999,1087266.2097149892,18589.595522298012
2018-01-24,方案A_传统规则,A,2018,2016,2,6,6,-0.0006183003892139549,1105172.0541624944,0.0016589999999999999,1089069.9843569065,16102.069805587875
