factor,因子,β均值,p值均值,t统计量均值,有效截面数,判定
F10_dividend_yield,F10 股息率,1.6178344944258767,0.20080304566791943,1.446135981331322,3,待定(非线性)
F7_low_expense,F7 三费费率/营收,-3.978302548888507,0.22401292964399466,-1.6801835565865038,3,待定(非线性)
F5_low_debt,F5 资产负债率,-2.4443234489575687,0.269569558343657,-1.1308728693697219,3,待定(非线性)
F6_roe,F6 年平均ROE,2.3319517024486314,0.30225997211292693,1.0943188041427896,3,待定(非线性)
F4_light_asset,F4 固资/总资产,1.5042012496331847,0.38335197217162365,1.1861198099556773,3,待定(非线性)
F3_net_margin,F3 销售净利率,2.3155494340717317,0.4123317126428421,0.9707342211822189,3,待定(非线性)
F8_ocf_profit,F8 经营现金流净额/净利润,-2.821496326541338,0.479837930833579,-0.7361219014160941,3,待定(非线性)
F11_fcff_yield,F11 FCFF收益率,-1.251048829494636,0.6377270431060427,-0.4968092819857128,3,待定(非线性)
F9_dividend_payout,F9 分红率,-2.0265546128797083,0.6424277991102174,-0.40716567101616224,3,待定(非线性)
F2_gross_margin,F2 销售毛利率,0.43996033611073554,0.6813314495864985,0.4257897578197345,3,待定(非线性)
F1_profit_cagr,F1 年净利润复合增速,0.24271444356452987,0.9185710058237931,0.10313241150384216,3,待定(非线性)
