ts_code,ann_date,end_date,total_revenue_ps,revenue_ps,or_yoy,tr_yoy,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,roe,roe_dt,roe_yearly,roe_avg,roa,fixed_assets,total_fa_trun,debt_to_assets,assets_to_eqt,ocfps,ocf_to_or,ocf_to_profit,q_dtprofit,netprofit_margin,profit_dedt,netprofit_yoy,dt_netprofit_yoy,eps,bps,cfps,grossprofit_margin,update_flag,end_date_dt,ann_date_dt,year,trade_date,adj_close,close,total_share,total_mv,circ_mv,pe,pb,div_yield,hs300_close,hs300_pct_chg,cash_div_tax,stk_div,net_profit,operating_cash_flow,fixed_asset_delta,fcff,F1_profit_cagr,F2_gross_margin,F3_net_margin,F4_light_asset,F5_low_debt,F6_roe,F7_low_expense,F8_ocf_profit,F9_dividend_payout,F10_dividend_yield,F11_fcff_yield,future_fcff_1y,future_fcff_3y,fcff_growth_1y,fcff_growth_3y_ann,future_adj_close_1y,price_return_1y,history_year_count,F1_profit_cagr_pos,F1_profit_cagr_z,F2_gross_margin_pos,F2_gross_margin_z,F3_net_margin_pos,F3_net_margin_z,F4_light_asset_pos,F4_light_asset_z,F5_low_debt_pos,F5_low_debt_z,F6_roe_pos,F6_roe_z,F7_low_expense_pos,F7_low_expense_z,F8_ocf_profit_pos,F8_ocf_profit_z,F9_dividend_payout_pos,F9_dividend_payout_z,F10_dividend_yield_pos,F10_dividend_yield_z,F11_fcff_yield_pos,F11_fcff_yield_z,value_equal_weight_score,target_fcff_growth_1y,target_fcff_growth_3y_ann,rule_profit_growth_positive,rule_net_margin_positive,rule_light_asset,rule_debt_control,rule_roe_quality,rule_expense_control,rule_cash_quality,rule_dividend_positive,rule_dividend_yield,rule_fcff_positive,traditional_rule_count,traditional_score,ml_score,group,scheme,score_col
600000.SH,20150319,20141231,6.6038,6.6038,23.1625,23.1625,,23.1164,,20.2461,20.0842,20.2461,20.85,,13929000000.0,9.9887,93.7252,15.9368,10.248,1.5518,309.5626,12108000000.0,38.4475,46650000000.0,14.9162,15.48,2.521,13.1458,-4.1458,,1,2014-12-31,2015-03-19,2014,2014-12-31,7.618443846980149,15.69,1865347.1415,29267296.6501,23413837.3201,3.0219927992781237,0.5795344404281328,0.09936412411834798,3533.705,2.2025,0.757,0.0,46650000000.0,191160775060.91998,0.0,191160775060.91998,0.149162,,38.4475,0.0035642825904277854,93.7252,20.85,23.1164,309.5626,0.3002776675922253,0.09936412411834798,0.6531548757177983,353703829610.355,-144131465101.63,0.8502950173624011,-0.5846601114614954,9.28525436041999,0.21878621762114103,1,0.149162,0.20416526895216783,,-0.1077634906950851,38.4475,1.1312369936125208,-0.0035642825904277854,1.1122286789731588,-93.7252,-1.4360515402305818,20.85,0.9647821917893289,-23.1164,-0.15414742997113218,309.5626,-0.05354557604852775,0.3002776675922253,0.023130010885116056,0.09936412411834798,3.008644199159744,0.6531548757177983,2.3611534587633516,0.6412575241081874,0.8502950173624011,-0.5846601114614954,True,True,True,False,True,True,True,True,False,True,8,8.006412575241082,0.058222919058530054,A,方案A_传统规则,traditional_score
600009.SH,20150312,20141231,2.9844,2.9844,10.2731,10.2731,0.2536,4.3874,-1.5327,11.8366,11.8347,11.8366,11.77,12.3713,10662352634.08,0.5289,18.2046,1.2226,1.547,0.5183,106.2471,519945100.82,39.1275,2095209944.05,11.8899,12.14,1.09,9.5812,1.1854,43.764,1,2014-12-31,2015-03-12,2014,,,,,,,,,,,,0.35,0.0,2095209944.05,,0.0,,0.118899,43.764,39.1275,,18.2046,11.77,3.1083,106.2471,0.3211009174311926,,,,,,,,,1,0.118899,0.1781872327233501,43.764,0.6704679304742769,39.1275,1.1628484840387643,,0.15613213626662883,-18.2046,1.9080369431633346,11.77,-0.030906903507280006,-3.1083,0.9193892583850255,106.2471,-0.16648576927822362,0.3211009174311926,0.14717530855418848,,-0.22702387477601232,,-0.24778583161384113,0.40636681040274636,,,True,True,False,True,True,True,True,True,False,False,7,7.004063668104028,-0.4792125671648226,B,方案A_传统规则,traditional_score
600010.SH,20150429,20141231,1.8614,1.8614,-21.1237,-21.1237,2.1035,1.9972,3.4366,1.0578,1.5114,1.0578,1.0568,1.4657,64163583747.51,0.5013,81.5206,5.4114,0.1852,0.0995,570.8843,234776178.53,0.6757,286212785.56,-20.0904,99.28,0.0125,1.1843,0.0176,10.9036,1,2014-12-31,2015-04-29,2014,2014-12-31,2.878828571428571,4.08,1600518.2054,6530114.278,6422745.8565,230.30628571428568,2.4308271311564393,0.0,3533.705,2.2025,0.0125,1.0,286212785.56,2964159716.4008,0.0,2964159716.4008,-0.200904,10.9036,0.6757,0.6255422208902853,81.5206,1.0568,7.5373,570.8843,1.0,0.0,0.04539215686296754,-11071031831.639393,7330073249.7984,-4.734964674940755,0.3522870982634798,2.547198809523809,-0.11519607843137258,1,-0.200904,-0.09633458996721572,10.9036,-1.0531514343613815,0.6757,-0.6246790270962745,-0.6255422208902853,-1.6760036881572238,-81.5206,-0.8956259834364171,1.0568,-1.2056884470900582,-7.5373,0.6817508023232594,570.8843,0.09161661420805686,1.0,3.165099745961996,0.0,-1.1399455610286808,0.04539215686296754,-0.41249739870683594,-0.28776899703188863,-4.734964674940755,0.3522870982634798,False,True,False,True,False,True,True,True,False,True,6,5.997122310029681,-0.8821329736935987,C,方案A_传统规则,traditional_score
600015.SH,20150417,20141231,6.1634,6.1634,21.376,21.376,,37.5731,,19.2436,19.1697,19.2436,19.24,,9359000000.0,6.2974,94.486,18.1357,1.45,0.2347,53.9199,4816000000.0,32.8378,17912000000.0,15.9616,15.73,2.02,11.3934,0.4358,,1,2014-12-31,2015-04-17,2014,2014-12-31,6.235199972405705,13.46,890464.3509,11985650.1631,8732426.4476,3.086732659606785,0.5472642031707572,0.06976520431182988,3533.705,2.2025,0.435,0.2,17912000000.0,12911733088.05,0.0,12911733088.05,0.159616,,32.8378,0.005086572533411579,94.486,19.24,37.5731,53.9199,0.21534653465346534,0.06976520431182988,0.10772659732553444,-290164168.35000014,,-1.0224729063380773,,6.934391114637048,0.1121361215880261,1,0.159616,0.21313907824853834,,-0.1077634906950851,32.8378,0.8704561438417892,-0.005086572533411579,1.1054044850109315,-94.486,-1.4697401300744932,19.24,0.7882337949360753,-37.5731,-0.9298231734229574,53.9199,-0.19555312557505758,0.21534653465346534,-0.4828096358190657,0.06976520431182988,1.8166869873550608,0.10772659732553444,-0.12802128841712235,0.13456451321714671,-1.0224729063380773,,True,True,True,False,True,False,True,True,False,True,7,7.001345645132171,18.621087328452894,B,方案A_传统规则,traditional_score
600016.SH,20150331,20141231,3.9665,3.9665,16.8985,16.8985,,33.2748,,20.3474,20.3246,20.3474,20.39,,33375000000.0,4.9393,93.8294,16.2059,6.71,1.6916,385.2839,7729000000.0,33.6365,44496000000.0,5.3645,5.52,1.31,7.0314,-0.7282,,1,2014-12-31,2015-03-31,2014,2014-12-31,5.677785340209768,10.88,3415310.3037,37158576.1043,29614841.7084,4.334187282602876,0.807490021931588,0.01937375110344274,3533.705,2.2025,0.185,0.0,44496000000.0,229167321378.27,0.0,229167321378.27,0.053645,,33.6365,0.008575829670238868,93.8294,20.39,33.2748,385.2839,0.1412213740458015,0.01937375110344274,0.6167279411757403,220763601799.84,-259935708701.6,-0.03667067157694171,-0.7114205567330764,5.122650939339487,-0.09777305192199659,1,0.053645,0.12217260178539713,,-0.1077634906950851,33.6365,0.9075856988468487,-0.008575829670238868,1.089762676697383,-93.8294,-1.440665566336964,20.39,0.9143397926883993,-33.2748,-0.699197439467146,385.2839,-0.011482977507817495,0.1412213740458015,-0.9243774834630364,0.01937375110344274,-0.31889065748830303,0.6167279411757403,2.194911609612149,0.15694497860652953,-0.03667067157694171,-0.7114205567330764,True,True,True,False,True,True,True,True,False,True,8,8.001569449786066,-2.4183961425845606,A,方案A_传统规则,traditional_score
600018.SH,20150328,20141231,1.2647,1.2647,2.1888,2.1888,0.0122,7.4075,3.4599,12.9649,11.918,12.9649,12.0739,11.8024,37329083025.3,0.7694,36.1182,1.5654,0.4486,0.3547,114.366,1745970628.83,27.2694,6220143316.9,28.7511,21.89,0.2974,2.3978,0.1668,36.5863,1,2014-12-31,2015-03-28,2014,2014-12-31,4.874706314243759,6.42,2275517.965,14608825.3353,14608825.3353,16.391077048566775,2.032991206207256,0.03159164677265094,3533.705,2.2025,0.154,0.0,6220143316.9,10207973590.99,0.0,10207973590.99,0.287511,36.5863,27.2694,0.43704762834556266,36.1182,12.0739,10.8796,114.366,0.5178211163416274,0.03159164677265094,0.06987538940809969,9328937342.420002,,-0.08611270794684199,,4.999559471365639,0.025612447001589045,1,0.287511,0.32292531700492877,36.5863,0.29397760427675923,27.2694,0.6115952272395924,-0.43704762834556266,-0.8310111384232947,-36.1182,1.1148141210972324,12.0739,0.002417977116138481,-10.8796,0.5024193478876665,114.366,-0.16197578290329118,0.5178211163416274,1.3190488547140795,0.03159164677265094,0.19890081699623896,0.06987538940809969,-0.3007631036674784,0.2793044764853247,-0.08611270794684199,,True,True,False,True,True,True,True,True,False,True,8,8.002793044764854,-0.10754112747745176,A,方案A_传统规则,traditional_score
600019.SH,20150327,20141231,11.4012,11.3784,-1.1992,-1.1772,1.1717,4.1154,0.2597,5.154,5.1555,5.154,5.16,3.7921,110279546760.89,1.7684,45.6797,1.8409,1.717,0.1509,370.127,996000000.0,3.2499,5794000000.0,-0.449,-8.33,0.35,6.9369,-0.0187,9.8619,1,2014-12-31,2015-03-27,2014,,,,,,,,,,,,0.18,0.0,5794000000.0,,0.0,,-0.00449,9.8619,3.2499,,45.6797,5.16,5.5468,370.127,0.5142857142857143,,,,-4102897483.2849884,,,,,1,-0.00449,0.07226898561507962,9.8619,-1.107791496331087,3.2499,-0.5050109408385748,,0.15613213626662883,-45.6797,0.6914263032836703,5.16,-0.7557422471097671,-5.5468,0.7885512870355974,370.127,-0.01990251863853885,0.5142857142857143,1.2979882612045632,,-0.22702387477601232,,-0.24778583161384113,0.013010005827065258,,,False,True,False,True,False,True,True,True,False,False,5,5.0001301000582705,-0.42576961620244064,C,方案A_传统规则,traditional_score
600028.SH,20150323,20141231,23.8917,23.8917,-1.8886,-1.8886,1.6375,2.4948,0.3404,8.1437,7.4239,8.1437,7.42,5.2861,881152000000.0,3.3025,55.4148,2.2429,1.27,0.0525,226.5497,-6079000000.0,1.7308,43238000000.0,-29.3976,-35.1,0.406,5.0261,-0.0481,14.0449,1,2014-12-31,2015-03-23,2014,2014-12-31,3.550877192982456,6.49,11679560.1173,75800345.1613,59242123.5099,8.746002938380434,0.7064875734630144,0.03097826086956522,3533.705,2.2025,0.2,0.0,43238000000.0,148330413489.71,0.0,148330413489.71,-0.293976,14.0449,1.7308,0.6692421855464019,55.4148,7.42,4.4727,226.5497,0.49261083743842365,0.03097826086956522,0.19568567026188205,162408699634.312,190929297611.742,0.09491166250661509,0.08779599580084918,2.8045289233514032,-0.2101870126925396,1,-0.293976,-0.17622844675235014,14.0449,-0.8883815134000345,1.7308,-0.5756300807010841,-0.6692421855464019,-1.8719039739932397,-55.4148,0.26035139399152846,7.42,-0.5079165471791134,-4.4727,0.8461822343501026,226.5497,-0.09965860219044717,0.49261083743842365,1.1688697724357613,0.03097826086956522,0.17290567022254177,0.19568567026188205,0.273398131536567,-0.12709199651634254,0.09491166250661509,0.08779599580084918,False,True,False,True,False,True,True,True,False,True,6,5.9987290800348365,-0.0036797678725940027,C,方案A_传统规则,traditional_score
600029.SH,20150331,20141231,11.0321,11.0321,10.3771,10.3771,7.3371,2.3838,2.0782,5.088,4.0779,5.088,4.08,2.7686,153707000000.0,0.745,76.6607,4.2846,1.5396,0.1396,3732.3457,337000000.0,2.2324,1421000000.0,-6.438,-22.52,0.18,3.6213,0.5804,12.1518,1,2014-12-31,2015-03-31,2014,,,,,,,,,,,,0.04,0.0,1421000000.0,,0.0,,-0.06437999999999999,12.1518,2.2324,,76.6607,4.08,11.7991,3732.3457,0.22222222222222224,,,,8208077231.2024,,,,,1,-0.06437999999999999,0.020858861379415835,12.1518,-0.9876798731147787,2.2324,-0.5523119577631376,,0.15613213626662883,-76.6607,-0.680427274468982,4.08,-0.8741722276076016,-11.7991,0.45308347966712154,3732.3457,1.847784055471634,0.22222222222222224,-0.44185076927605704,,-0.22702387477601232,,-0.24778583161384113,-0.13939938871232815,,,False,True,False,True,False,True,True,True,False,False,5,4.998606006112877,-0.5006938292743405,C,方案A_传统规则,traditional_score
600030.SH,20150324,20141231,2.6502,2.6502,81.1793,81.1793,,48.4514,,12.1392,10.3421,12.1392,10.38,,1296018310.08,10.8829,78.9145,4.7426,2.7623,1.0423,230.89,4966355895.65,40.625,9658872150.82,116.2,83.36,1.03,8.9951,6.0466,,1,2014-12-31,2015-03-24,2014,2014-12-31,25.754941257774703,33.9,1101690.84,37347319.476,33271703.163,25.004797337645343,2.863219003432391,0.010943531075417122,3533.705,2.2025,0.28185,0.0,9658872150.82,30432006073.320004,0.0,30432006073.320004,1.162,,40.625,0.002757584986789263,78.9145,10.38,48.4514,230.89,0.2736407766990291,0.010943531075417122,0.08148377581120944,83614706790.73001,-109337998813.37001,1.7475910260163796,-1.5309540066680822,14.888044229440222,-0.42193445209486025,1,1.162,1.073594679715254,,-0.1077634906950851,40.625,1.2324634942053814,-0.002757584986789263,1.115844981466298,-78.9145,-0.7802266222479086,10.38,-0.1833306747035669,-48.4514,-1.5134994923610272,230.89,-0.09724759899258549,0.2736407766990291,-0.13554748111912865,0.010943531075417122,-0.6761613509630812,0.08148377581120944,-0.24778583161384113,-0.029059944300844607,1.7475910260163796,-1.5309540066680822,True,True,True,True,True,False,True,True,False,True,8,7.999709400556991,8.637479668536974,B,方案A_传统规则,traditional_score
