date,code,close,volume,amount,name,display_code,log_return
2024-01-02,sz.000598,5.86,35938572,210501308.33,兴蓉环境,000598.SZ,
2024-01-03,sz.000598,5.93,23878662,141392877.7,兴蓉环境,000598.SZ,0.011874609420712723
2024-01-04,sz.000598,5.94,15391591,91471237.07,兴蓉环境,000598.SZ,0.0016849203649196287
2024-01-05,sz.000598,5.95,23109834,138451133.3,兴蓉环境,000598.SZ,0.00168208618298471
2024-01-08,sz.000598,5.89,24633803,146763553.91,兴蓉环境,000598.SZ,-0.010135221894043145
2024-01-09,sz.000598,5.96,19489607,116026016.73,兴蓉环境,000598.SZ,0.011814483413763233
2024-01-10,sz.000598,5.93,15108615,89915474.35,兴蓉环境,000598.SZ,-0.0050462680676244265
2024-01-11,sz.000598,5.92,17357739,103253230.19,兴蓉环境,000598.SZ,-0.0016877641137196253
2024-01-12,sz.000598,5.98,23541580,141352015.96,兴蓉环境,000598.SZ,0.010084119066626096
2024-01-15,sz.000598,5.93,16708602,99406007.28,兴蓉环境,000598.SZ,-0.00839635495290647
2024-01-16,sz.000598,5.95,15025076,88869693.4,兴蓉环境,000598.SZ,0.0033670065479043387
2024-01-17,sz.000598,5.88,15973266,94643192.64,兴蓉环境,000598.SZ,-0.01183445764700286
2024-01-18,sz.000598,5.8,27197701,156288209.23,兴蓉环境,000598.SZ,-0.013698844358161821
2024-01-19,sz.000598,5.8,17600600,102268482.0,兴蓉环境,000598.SZ,0.0
2024-01-22,sz.000598,5.5,27927151,156837164.77,兴蓉环境,000598.SZ,-0.05310982531394837
2024-01-23,sz.000598,5.52,25116250,137232716.1,兴蓉环境,000598.SZ,0.0036297680505785745
2024-01-24,sz.000598,5.69,26997728,152169739.68,兴蓉环境,000598.SZ,0.030332387849235865
2024-01-25,sz.000598,5.94,24612999,144397499.31,兴蓉环境,000598.SZ,0.0429988852363139
2024-01-26,sz.000598,5.92,19669479,116569221.69,兴蓉环境,000598.SZ,-0.003372684478639254
2024-01-29,sz.000598,5.97,21235260,127224754.8,兴蓉环境,000598.SZ,0.00841047850859633
2024-01-30,sz.000598,5.87,19709300,117236661.99,兴蓉环境,000598.SZ,-0.0168922935645055
2024-01-31,sz.000598,5.83,17759024,104563193.74,兴蓉环境,000598.SZ,-0.0068376334776041325
2024-02-01,sz.000598,5.68,22709673,130640352.16,兴蓉环境,000598.SZ,-0.026065767629341208
2024-02-02,sz.000598,5.62,23721802,134797029.03,兴蓉环境,000598.SZ,-0.01061956882746018
2024-02-05,sz.000598,5.57,43451501,242041599.55,兴蓉环境,000598.SZ,-0.008936609966406994
2024-02-06,sz.000598,5.85,38798087,223022486.21,兴蓉环境,000598.SZ,0.04904660730457233
2024-02-07,sz.000598,6.2,59129407,359690042.29,兴蓉环境,000598.SZ,0.058107630807280986
2024-02-08,sz.000598,6.1,59260397,372081562.82,兴蓉环境,000598.SZ,-0.016260520871780537
2024-02-19,sz.000598,6.16,34063239,208937446.21,兴蓉环境,000598.SZ,0.00978800636616306
2024-02-20,sz.000598,6.18,20697611,128320682.96,兴蓉环境,000598.SZ,0.003241493924170946
2024-02-21,sz.000598,6.12,30839630,189641442.97,兴蓉环境,000598.SZ,-0.009756174945364737
2024-02-22,sz.000598,6.16,25267125,154501543.5,兴蓉环境,000598.SZ,0.006514681021193791
2024-02-23,sz.000598,6.09,25581518,155521986.72,兴蓉环境,000598.SZ,-0.011428695823622936
2024-02-26,sz.000598,5.86,40397801,239459332.86,兴蓉环境,000598.SZ,-0.03849847813288432
2024-02-27,sz.000598,5.9,23443800,137565696.0,兴蓉环境,000598.SZ,0.006802747322752545
2024-02-28,sz.000598,5.89,31901220,189485850.2,兴蓉环境,000598.SZ,-0.001696353248178628
2024-02-29,sz.000598,6.07,49230880,297665323.25,兴蓉环境,000598.SZ,0.03010260740791182
2024-03-01,sz.000598,6.11,34966706,213080306.58,兴蓉环境,000598.SZ,0.006568168112097039
2024-03-04,sz.000598,6.19,31271999,191049796.39,兴蓉环境,000598.SZ,0.013008313513000802
2024-03-05,sz.000598,6.2,30550004,189201839.16,兴蓉环境,000598.SZ,0.0016142053545411539
2024-03-06,sz.000598,6.23,26348322,164887538.92,兴蓉环境,000598.SZ,0.004827040748315747
2024-03-07,sz.000598,6.2,27917424,174969843.06,兴蓉环境,000598.SZ,-0.004827040748315747
2024-03-08,sz.000598,6.36,24289975,152635767.55,兴蓉环境,000598.SZ,0.02547908530098475
2024-03-11,sz.000598,6.39,24562462,156347427.82,兴蓉环境,000598.SZ,0.004705891037412702
2024-03-12,sz.000598,6.25,23382989,147332679.36,兴蓉环境,000598.SZ,-0.022152804641133228
2024-03-13,sz.000598,6.22,16632893,103292599.97,兴蓉环境,000598.SZ,-0.004811556997222244
2024-03-14,sz.000598,6.33,20869227,131946397.22,兴蓉环境,000598.SZ,0.01753032940499688
2024-03-15,sz.000598,6.37,16974200,107386782.0,兴蓉环境,000598.SZ,0.006299233427987216
2024-03-18,sz.000598,6.37,22140240,140913446.83,兴蓉环境,000598.SZ,0.0
2024-03-19,sz.000598,6.32,15199810,96581419.1,兴蓉环境,000598.SZ,-0.007880261425305957
2024-03-20,sz.000598,6.33,14621277,92192685.16,兴蓉环境,000598.SZ,0.0015810279973187402
2024-03-21,sz.000598,6.29,17738484,111485836.86,兴蓉环境,000598.SZ,-0.006339165443735695
2024-03-22,sz.000598,6.24,26352632,163714814.14,兴蓉环境,000598.SZ,-0.007980888331012848
2024-03-25,sz.000598,6.21,19920554,124641446.75,兴蓉环境,000598.SZ,-0.004819286435948866
2024-03-26,sz.000598,6.26,18856164,117286192.65,兴蓉环境,000598.SZ,0.008019289166619759
2024-03-27,sz.000598,6.22,24184290,151966403.56,兴蓉环境,000598.SZ,-0.00641027836091923
2024-03-28,sz.000598,6.21,18572400,115679715.0,兴蓉环境,000598.SZ,-0.0016090108057005281
2024-03-29,sz.000598,6.43,29628882,188719530.47,兴蓉环境,000598.SZ,0.034813642304140524
2024-04-01,sz.000598,6.44,18624377,119569102.53,兴蓉环境,000598.SZ,0.001554001866734378
2024-04-02,sz.000598,6.54,31408952,204057890.16,兴蓉环境,000598.SZ,0.015408625352844929
2024-04-03,sz.000598,6.55,20767378,135635099.56,兴蓉环境,000598.SZ,0.0015278841780532737
2024-04-08,sz.000598,6.59,22752589,150497777.81,兴蓉环境,000598.SZ,0.00608829886725526
2024-04-09,sz.000598,6.56,19328769,127372163.2,兴蓉环境,000598.SZ,-0.004562745558418291
2024-04-10,sz.000598,6.61,21247000,140208720.0,兴蓉环境,000598.SZ,0.007593050907597432
2024-04-11,sz.000598,6.73,36429628,245048339.19,兴蓉环境,000598.SZ,0.01799148979304155
2024-04-12,sz.000598,6.8,25415506,172865317.32,兴蓉环境,000598.SZ,0.010347468525424564
2024-04-15,sz.000598,6.9,36820510,254137549.93,兴蓉环境,000598.SZ,0.01459879942115272
2024-04-16,sz.000598,6.85,37525511,258776231.66,兴蓉环境,000598.SZ,-0.007272759329080003
2024-04-17,sz.000598,6.93,29968176,205578360.31,兴蓉环境,000598.SZ,0.01161116092767811
2024-04-18,sz.000598,6.86,28388805,195470537.9,兴蓉环境,000598.SZ,-0.010152371464017929
2024-04-19,sz.000598,7.23,73842066,529526913.33,兴蓉环境,000598.SZ,0.05253159443287947
2024-04-22,sz.000598,7.21,48836877,354552406.11,兴蓉环境,000598.SZ,-0.0027700848738156925
2024-04-23,sz.000598,7.16,30985595,223200079.91,兴蓉环境,000598.SZ,-0.006958970324303371
2024-04-24,sz.000598,7.2,22953189,164837348.13,兴蓉环境,000598.SZ,0.00557104504945527
2024-04-25,sz.000598,7.18,18144870,130141715.9,兴蓉环境,000598.SZ,-0.0027816429618767735
2024-04-26,sz.000598,7.06,44462557,313725481.16,兴蓉环境,000598.SZ,-0.016854331554982283
2024-04-29,sz.000598,7.05,29208607,205376157.09,兴蓉环境,000598.SZ,-0.0014174346809732175
2024-04-30,sz.000598,7.13,27882469,199235989.66,兴蓉环境,000598.SZ,0.01128361760202723
2024-05-06,sz.000598,7.34,36938017,268569242.46,兴蓉环境,000598.SZ,0.029027608200219657
2024-05-07,sz.000598,7.44,35542846,263005759.43,兴蓉环境,000598.SZ,0.01353200621857642
2024-05-08,sz.000598,7.35,23324284,172284096.42,兴蓉环境,000598.SZ,-0.012170535620255496
2024-05-09,sz.000598,7.45,24970097,185865329.76,兴蓉环境,000598.SZ,0.01351371916672317
2024-05-10,sz.000598,7.49,16292001,121788285.46,兴蓉环境,000598.SZ,0.005354765137659978
2024-05-13,sz.000598,7.62,41704632,316014746.15,兴蓉环境,000598.SZ,0.017207572169426477
2024-05-14,sz.000598,7.62,23513819,179056933.98,兴蓉环境,000598.SZ,0.0
2024-05-15,sz.000598,7.44,21532402,162159241.92,兴蓉环境,000598.SZ,-0.02390552085355413
2024-05-16,sz.000598,7.41,24362826,182103498.06,兴蓉环境,000598.SZ,-0.004040409537005019
2024-05-17,sz.000598,7.39,26089623,191604947.66,兴蓉环境,000598.SZ,-0.00270270434788511
2024-05-20,sz.000598,7.36,19477871,144199219.57,兴蓉环境,000598.SZ,-0.004067802219325678
2024-05-21,sz.000598,7.41,18333143,136036871.66,兴蓉环境,000598.SZ,0.006770506567210788
2024-05-22,sz.000598,7.35,26958215,200493361.43,兴蓉环境,000598.SZ,-0.008130126083250477
2024-05-23,sz.000598,7.27,23111778,168770976.75,兴蓉环境,000598.SZ,-0.010944021679317295
2024-05-24,sz.000598,7.38,21815955,161382089.85,兴蓉环境,000598.SZ,0.015017347066953235
2024-05-27,sz.000598,7.5,21784806,163026929.16,兴蓉环境,000598.SZ,0.016129381929883557
2024-05-28,sz.000598,7.45,16731335,124889047.45,兴蓉环境,000598.SZ,-0.006688988150796327
2024-05-29,sz.000598,7.57,22417900,168788780.6,兴蓉环境,000598.SZ,0.015979035057889224
2024-05-30,sz.000598,7.45,18075302,135552626.58,兴蓉环境,000598.SZ,-0.015979035057889224
2024-05-31,sz.000598,7.39,13619891,101163016.77,兴蓉环境,000598.SZ,-0.008086297431357803
2024-06-03,sz.000598,7.38,20773302,152944430.72,兴蓉环境,000598.SZ,-0.0013540963477294277
2024-06-04,sz.000598,7.52,22434010,167747349.49,兴蓉环境,000598.SZ,0.01879249934936711
2024-06-05,sz.000598,7.53,22004681,166693564.83,兴蓉环境,000598.SZ,0.0013289038500539085
2024-06-06,sz.000598,7.59,20276361,153989520.12,兴蓉环境,000598.SZ,0.00793654959573642
2024-06-07,sz.000598,7.92,38357650,298389114.53,兴蓉环境,000598.SZ,0.04255961441879608
2024-06-11,sz.000598,7.64,48035781,367144572.64,兴蓉环境,000598.SZ,-0.03599360264790574
2024-06-12,sz.000598,7.74,23331141,178514375.34,兴蓉环境,000598.SZ,0.013004084423207107
2024-06-13,sz.000598,7.72,23017648,178481072.75,兴蓉环境,000598.SZ,-0.0025873235649513937
2024-06-14,sz.000598,7.57,30169141,229570550.31,兴蓉环境,000598.SZ,-0.01962129658732703
2024-06-17,sz.000598,7.53,25196243,190830027.15,兴蓉环境,000598.SZ,-0.005298025637555437
2024-06-18,sz.000598,7.52,28250117,210188023.65,兴蓉环境,000598.SZ,-0.0013289038500539085
2024-06-19,sz.000598,7.46,12956357,96924711.94,兴蓉环境,000598.SZ,-0.008010723746078696
2024-06-20,sz.000598,7.38,17109755,126968284.1,兴蓉环境,000598.SZ,-0.010781775603288413
2024-06-21,sz.000598,7.46,21669634,162175154.41,兴蓉环境,000598.SZ,0.010781775603288413
2024-06-24,sz.000598,7.42,22144981,164344447.48,兴蓉环境,000598.SZ,-0.005376357036380508
2024-06-25,sz.000598,7.42,18489302,137876423.84,兴蓉环境,000598.SZ,0.0
2024-06-26,sz.000598,7.32,20569228,148726722.04,兴蓉环境,000598.SZ,-0.013568729206068886
2024-06-27,sz.000598,7.35,25865244,189590614.59,兴蓉环境,000598.SZ,0.004089985251525041
2024-06-28,sz.000598,7.52,23323250,175314267.37,兴蓉环境,000598.SZ,0.02286582473700305
2024-07-01,sz.000598,7.88,33064491,256486268.01,兴蓉环境,000598.SZ,0.04676176590803971
2024-07-02,sz.000598,7.92,25092931,196681935.52,兴蓉环境,000598.SZ,0.005063301956546695
2024-07-03,sz.000598,7.92,26456314,211687008.25,兴蓉环境,000598.SZ,0.0
2024-07-04,sz.000598,7.88,15304303,121497629.61,兴蓉环境,000598.SZ,-0.005063301956546695
2024-07-05,sz.000598,7.86,18469463,144598106.27,兴蓉环境,000598.SZ,-0.0025412974286727064
2024-07-08,sz.000598,7.91,27084584,213192257.59,兴蓉环境,000598.SZ,0.006341175338447247
2024-07-09,sz.000598,8.13,22157422,177790553.86,兴蓉环境,000598.SZ,0.027433141780156767
2024-07-10,sz.000598,7.77,33280768,261163083.73,兴蓉环境,000598.SZ,-0.04529075918016323
2024-07-11,sz.000598,7.77,22650609,176011602.8,兴蓉环境,000598.SZ,0.0
2024-07-12,sz.000598,7.81,16837480,131839197.1,兴蓉环境,000598.SZ,0.005134799472038765
2024-07-15,sz.000598,7.88,17013160,134152123.3,兴蓉环境,000598.SZ,0.00892294001819316
2024-07-16,sz.000598,7.74,16352201,126973529.26,兴蓉环境,000598.SZ,-0.01792621626815194
2024-07-17,sz.000598,7.58,22853047,174619405.65,兴蓉环境,000598.SZ,-0.02088848794735565
2024-07-18,sz.000598,7.74,19859291,151908050.11,兴蓉环境,000598.SZ,0.02088848794735565
2024-07-19,sz.000598,7.7,20319708,156662103.34,兴蓉环境,000598.SZ,-0.005181358741997766
2024-07-22,sz.000598,7.56,17984300,136669150.0,兴蓉环境,000598.SZ,-0.018349138668196652
2024-07-23,sz.000598,7.69,22695223,174565747.76,兴蓉环境,000598.SZ,0.017049593326111
2024-07-24,sz.000598,8.15,61242024,494173843.63,兴蓉环境,000598.SZ,0.058097143735218904
