date,上证50指数（000016.SH）,中国石油（601857.SH）,兴蓉环境（000598.SZ）,工商银行（601398.SH）,招商银行（600036.SH）,泸州老窖（000568.SZ）,贵州茅台（600519.SH）,长江电力（600900.SH）
2015-01-05,2649.639,11.89,7.68,5.06,16.68,21.9,202.52,11.18
2015-01-06,2629.402,11.69,8.32,5.1,16.42,21.58,197.83,10.87
2015-01-07,2635.231,12.39,7.91,5.04,16.16,21.59,192.94,11.16
2015-01-08,2558.107,12.21,7.79,4.83,15.57,21.64,191.76,10.82
2015-01-09,2569.019,12.07,7.62,4.88,15.71,21.42,190.31,10.69
2015-01-12,2543.852,11.62,7.33,4.82,15.6,19.37,186.43,10.64
2015-01-13,2527.828,11.64,7.38,4.82,15.43,19.1,184.88,10.55
2015-01-14,2534.23,11.31,7.39,4.89,15.71,19.24,183.18,10.76
2015-01-15,2632.89,12.29,7.62,5.09,16.18,19.34,186.07,10.92
2015-01-16,2653.034,12.6,7.78,5.15,16.24,19.45,186.11,10.98
2015-01-19,2410.201,11.44,7.11,4.64,14.63,18.32,175.48,10.19
2015-01-20,2403.724,11.83,7.28,4.64,14.64,18.66,178.08,10.2
2015-01-21,2542.318,12.69,7.49,4.92,15.3,19.14,182.36,10.47
2015-01-22,2544.308,12.63,7.58,4.88,15.13,19.26,181.23,10.38
2015-01-23,2564.514,12.82,7.45,4.98,15.17,19.22,181.02,10.43
2015-01-26,2562.363,13.09,7.57,4.93,15.03,19.53,182.8,10.39
2015-01-27,2522.103,12.61,7.7,4.78,14.71,19.59,180.11,10.21
2015-01-28,2486.285,12.25,7.69,4.69,14.53,19.25,177.47,10.08
2015-01-29,2442.038,11.98,7.4,4.56,14.37,19.15,176.15,10.14
2015-01-30,2405.38,11.64,7.47,4.54,14.34,19.12,177.18,10.18
2015-02-02,2332.533,11.22,7.26,4.41,14.09,18.71,174.82,9.95
2015-02-03,2405.76,11.69,7.34,4.5,14.57,18.94,178.37,10.08
2015-02-04,2372.455,11.41,7.2,4.41,14.3,18.91,177.25,10.01
2015-02-05,2348.921,11.15,7.09,4.4,14.32,18.8,174.05,9.72
2015-02-06,2325.241,10.89,6.95,4.3,14.25,18.21,174.6,9.31
2015-02-09,2366.766,11.03,6.85,4.3,14.41,18.53,184.3,9.3
2015-02-10,2403.548,11.23,6.97,4.36,14.66,19.66,182.88,9.48
2015-02-11,2415.128,11.16,7.03,4.33,14.64,19.86,183.15,9.69
2015-02-12,2416.449,11.18,7.03,4.34,14.57,19.96,183.57,9.74
2015-02-13,2427.474,11.18,7.24,4.44,14.63,20.53,182.49,9.93
2015-02-16,2431.21,11.07,7.38,4.42,14.46,20.34,183.31,9.87
2015-02-17,2445.26,11.08,7.38,4.49,14.52,20.06,182.22,9.95
2015-02-25,2407.457,11.23,7.61,4.49,14.3,20.14,183.96,9.89
2015-02-26,2478.061,11.34,7.79,4.59,14.67,20.39,186.64,10.13
2015-02-27,2474.595,11.42,7.76,4.58,14.7,20.36,191.05,10.03
2015-03-02,2479.237,11.32,8.05,4.57,14.57,20.22,190.73,10.16
2015-03-03,2396.805,10.93,8.35,4.4,14.17,19.94,185.95,9.91
2015-03-04,2397.993,10.92,8.24,4.38,14.21,20.37,187.19,9.97
2015-03-05,2366.899,10.71,8.2,4.31,13.91,20.32,185.52,9.75
2015-03-06,2371.623,10.77,7.93,4.34,14.05,20.65,183.62,9.82
2015-03-09,2429.867,10.89,8.01,4.52,14.68,20.75,191.56,10.08
2015-03-10,2395.428,10.77,7.92,4.42,14.29,20.95,187.83,10.04
2015-03-11,2408.503,10.75,7.79,4.46,14.45,20.8,191.98,10.0
2015-03-12,2485.114,11.03,7.87,4.57,15.13,21.0,192.75,10.13
2015-03-13,2495.277,11.06,7.95,4.57,15.1,20.84,189.91,10.25
2015-03-16,2550.861,11.2,8.2,4.6,15.36,21.61,193.76,10.42
2015-03-17,2583.198,11.48,8.22,4.63,15.41,22.61,196.77,10.46
2015-03-18,2649.642,11.65,8.34,4.73,15.74,23.01,199.45,10.5
2015-03-19,2630.243,11.64,8.26,4.69,15.68,22.59,195.28,10.76
2015-03-20,2680.679,11.68,8.37,4.72,15.69,22.99,193.15,10.83
2015-03-23,2720.671,11.8,8.67,4.78,15.79,23.12,195.08,11.21
2015-03-24,2683.647,11.59,8.9,4.8,15.56,23.49,195.69,11.2
2015-03-25,2649.161,11.33,9.07,4.69,15.16,23.01,192.78,10.83
2015-03-26,2687.762,11.99,8.77,4.72,15.22,24.51,198.56,10.85
2015-03-27,2689.24,11.7,8.84,4.71,15.26,24.29,194.55,10.73
2015-03-30,2784.456,11.88,8.99,4.92,15.74,25.3,196.77,10.99
2015-03-31,2754.658,11.73,8.89,4.86,15.57,24.54,195.96,10.89
2015-04-01,2799.451,11.86,8.98,4.89,15.73,24.55,195.34,10.89
2015-04-02,2781.641,11.91,9.29,4.85,15.66,24.76,194.58,10.7
2015-04-03,2817.181,11.84,9.24,4.87,15.66,24.61,196.81,10.85
2015-04-07,2889.452,12.27,9.33,5.0,15.66,25.0,200.67,11.19
2015-04-08,2952.079,12.51,9.09,5.04,15.66,24.82,204.5,11.29
2015-04-09,2931.772,12.39,8.79,5.03,15.66,24.0,200.0,11.18
2015-04-10,2986.605,12.46,9.05,5.1,15.66,24.4,200.22,11.28
2015-04-13,3041.125,12.69,9.23,5.32,17.23,24.85,203.9,11.61
2015-04-14,3052.407,12.51,9.29,5.26,17.48,25.43,206.0,11.87
2015-04-15,3053.304,12.47,9.73,5.43,17.87,24.53,205.7,11.59
2015-04-16,3183.302,13.01,10.7,5.62,18.81,26.38,226.27,12.24
2015-04-17,3235.332,13.38,10.76,5.64,18.32,25.97,232.56,12.48
2015-04-20,3164.461,12.8,10.1,5.42,17.81,25.02,234.03,12.27
2015-04-21,3214.364,12.99,10.41,5.44,18.17,26.88,257.43,12.86
2015-04-22,3299.221,13.22,10.54,5.52,18.41,27.41,263.89,13.26
2015-04-23,3273.398,13.34,10.35,5.48,18.17,26.81,256.04,12.96
2015-04-24,3223.958,13.32,10.74,5.33,17.7,26.03,258.49,12.6
2015-04-27,3308.454,14.65,10.65,5.5,18.44,26.34,255.79,13.09
2015-04-28,3282.33,14.33,11.15,5.64,18.36,25.25,247.89,12.85
2015-04-29,3283.282,13.71,10.9,5.53,18.48,25.63,249.78,12.9
2015-04-30,3250.49,13.39,10.63,5.41,18.22,25.7,252.23,13.21
2015-05-04,3272.005,13.5,10.66,5.39,18.16,25.97,254.97,14.08
2015-05-05,3148.813,13.01,9.91,5.14,17.45,24.25,240.95,12.74
2015-05-06,3139.02,12.61,9.6,5.13,17.54,23.69,242.68,12.52
2015-05-07,3094.883,12.17,9.16,5.08,17.69,23.4,244.93,11.98
2015-05-08,3110.455,12.41,9.45,5.15,17.7,23.93,254.17,12.1
2015-05-11,3169.134,12.66,9.85,5.2,17.91,24.49,257.44,12.44
2015-05-12,3188.313,12.69,10.02,5.19,17.77,24.5,254.42,12.86
2015-05-13,3141.296,12.43,9.81,5.16,17.54,24.32,256.4,12.45
2015-05-14,3128.572,12.47,9.95,5.13,17.49,24.14,251.41,12.51
2015-05-15,3060.411,12.11,9.51,5.08,17.16,23.76,245.17,12.16
2015-05-18,2998.388,11.79,9.42,5.0,16.85,23.95,241.14,12.01
2015-05-19,3116.086,12.19,9.73,5.14,17.63,24.43,250.04,12.5
2015-05-20,3122.85,12.17,9.88,5.15,18.04,24.55,253.95,12.58
2015-05-21,3150.901,12.22,10.16,5.2,18.16,25.46,258.59,12.74
2015-05-22,3248.855,12.64,10.56,5.33,18.7,26.29,275.86,13.17
2015-05-25,3349.945,12.98,10.78,5.44,19.22,26.6,286.83,13.55
2015-05-26,3386.593,13.05,10.85,5.44,19.2,27.2,285.54,13.87
2015-05-27,3344.738,13.35,11.68,5.37,19.07,26.81,276.9,13.71
2015-05-28,3124.621,12.2,10.51,5.1,17.92,25.37,261.11,13.04
2015-05-29,3111.333,11.92,10.17,5.07,18.07,25.21,263.83,13.19
2015-06-01,3244.319,12.4,10.67,5.23,18.83,26.33,271.46,13.86
2015-06-02,3258.31,12.37,11.32,5.2,18.95,26.8,266.62,14.09
2015-06-03,3238.427,12.35,11.07,5.2,19.45,26.4,262.79,14.08
2015-06-04,3299.03,12.61,12.05,5.34,20.44,26.95,258.21,14.45
2015-06-05,3303.988,12.82,12.1,5.32,19.99,28.11,253.84,14.38
2015-06-08,3458.707,13.33,12.24,5.63,21.13,29.1,264.64,14.5
2015-06-09,3413.996,13.18,11.96,5.52,20.83,28.28,259.03,15.06
2015-06-10,3370.383,12.98,11.87,5.43,20.47,28.82,261.05,14.68
2015-06-11,3347.116,12.91,12.4,5.42,20.36,28.61,260.06,14.44
2015-06-12,3350.248,12.96,12.33,5.44,20.31,29.8,266.0,14.73
2015-06-15,3262.479,12.6,12.65,5.32,19.5,29.93,260.89,14.73
2015-06-16,3179.652,12.09,11.94,5.23,19.29,28.4,253.95,14.73
2015-06-17,3211.707,12.28,12.22,5.29,19.43,28.71,255.09,14.73
2015-06-18,3068.488,11.8,11.89,5.11,18.79,27.89,243.97,14.73
