rank,y_asset,x_asset,alpha,beta,r_squared,residual_mean,residual_std,adf_stat,p_value,critical_5pct,is_cointegrated,conclusion
1,中国石油（601857.SH）,兴蓉环境（000598.SZ）,2.0514757476088374,1.0297955115832842,0.7252723751830343,-9.95924654221124e-15,0.948372034088678,-4.739151933150629,7.09993144916462e-05,-2.8655458544300387,True,协整显著
2,泸州老窖（000568.SZ）,贵州茅台（600519.SH）,1.53607830191156,0.10072864503490747,0.9703929876818526,-3.3876969232278e-14,2.303969175314746,-4.120439565125294,0.0008958628218157749,-2.865507363200066,True,协整显著
3,招商银行（600036.SH）,泸州老窖（000568.SZ）,10.18402275232597,0.2670675896129635,0.8715326700927086,1.2502445951625806e-14,1.37295110836491,-3.2962958582161543,0.015044863835335725,-2.865534780932388,True,协整显著
4,招商银行（600036.SH）,贵州茅台（600519.SH）,10.514923602699604,0.027147007203699662,0.8612453298919385,4.931088931231296e-15,1.4268638257976887,-2.9810983127140007,0.03669768214471834,-2.865551414233055,True,协整显著
5,兴蓉环境（000598.SZ）,泸州老窖（000568.SZ）,7.968180168534262,-0.0421368743753715,0.14217691486648643,4.115712021342657e-15,1.3858812250614285,-2.460533665822026,0.12537451614345202,-2.865596454500293,False,未通过协整检验
6,兴蓉环境（000598.SZ）,贵州茅台（600519.SH）,8.059234498670218,-0.0047267375295123905,0.17110751771673682,-3.59154115069996e-15,1.362310948512784,-2.4071732304302556,0.13972204465479998,-2.865596454500293,False,未通过协整检验
7,兴蓉环境（000598.SZ）,招商银行（600036.SH）,8.470515014042899,-0.10049784907078534,0.06618760809479263,1.59192634787782e-14,1.445962276825647,-2.373698603746413,0.14929778516711795,-2.8656078730509784,False,未通过协整检验
8,工商银行（601398.SH）,招商银行（600036.SH）,2.36050349270916,0.12844137270624906,0.738874937654982,1.640460687752144e-15,0.29248424146848606,-2.349220438073347,0.15658418085470016,-2.865534780932388,False,未通过协整检验
9,工商银行（601398.SH）,泸州老窖（000568.SZ）,3.7186454767355173,0.0328321539589428,0.5899308505167493,6.581256486958305e-15,0.3665276500350053,-2.3055708928702505,0.17017754241037092,-2.865534780932388,False,未通过协整检验
10,兴蓉环境（000598.SZ）,长江电力（600900.SH）,9.006883327857928,-0.18328933692183158,0.03447320270260956,-1.281306572682148e-15,1.4703113589636734,-2.237871458438975,0.19278844694795327,-2.865596454500293,False,未通过协整检验
11,工商银行（601398.SH）,贵州茅台（600519.SH）,3.785905199093912,0.003255036401496052,0.5545691694954751,7.328685321022891e-15,0.3820043693779094,-2.0838226969121934,0.25106913232985417,-2.865534780932388,False,未通过协整检验
12,上证50指数（000016.SH）,中国石油（601857.SH）,1427.9552266541918,116.7528829533918,0.456428371980397,-5.963899683756906e-13,230.53520738570646,-2.056818518587385,0.26222862920543805,-2.865613606467485,False,未通过协整检验
13,上证50指数（000016.SH）,工商银行（601398.SH）,354.19460806123084,433.872610398548,0.6307585072190605,4.771119747005525e-13,190.00460167530693,-2.0359315057574,0.27104391709756415,-2.8655850998755263,False,未通过协整检验
14,上证50指数（000016.SH）,贵州茅台（600519.SH）,2183.827747690763,0.8331549231190631,0.12174025286659096,-3.0167392567003684e-12,293.0355828893647,-1.9843674964325617,0.2934691891508385,-2.865613606467485,False,未通过协整检验
15,兴蓉环境（000598.SZ）,工商银行（601398.SH）,4.716153014059751,0.37553547043274316,0.020634978543832005,7.299564717098297e-15,1.4808103492423388,-1.9653327627444095,0.3019772017052661,-2.865596454500293,False,未通过协整检验
