date,贵州茅台,泸州老窖
2015-01-05,202.52,21.9
2015-01-06,197.83,21.58
2015-01-07,192.94,21.59
2015-01-08,191.76,21.64
2015-01-09,190.31,21.42
2015-01-12,186.43,19.37
2015-01-13,184.88,19.1
2015-01-14,183.18,19.24
2015-01-15,186.07,19.34
2015-01-16,186.11,19.45
2015-01-19,175.48,18.32
2015-01-20,178.08,18.66
2015-01-21,182.36,19.14
2015-01-22,181.23,19.26
2015-01-23,181.02,19.22
2015-01-26,182.8,19.53
2015-01-27,180.11,19.59
2015-01-28,177.47,19.25
2015-01-29,176.15,19.15
2015-01-30,177.18,19.12
2015-02-02,174.82,18.71
2015-02-03,178.37,18.94
2015-02-04,177.25,18.91
2015-02-05,174.05,18.8
2015-02-06,174.6,18.21
2015-02-09,184.3,18.53
2015-02-10,182.88,19.66
2015-02-11,183.15,19.86
2015-02-12,183.57,19.96
2015-02-13,182.49,20.53
2015-02-16,183.31,20.34
2015-02-17,182.22,20.06
2015-02-25,183.96,20.14
2015-02-26,186.64,20.39
2015-02-27,191.05,20.36
2015-03-02,190.73,20.22
2015-03-03,185.95,19.94
2015-03-04,187.19,20.37
2015-03-05,185.52,20.32
2015-03-06,183.62,20.65
2015-03-09,191.56,20.75
2015-03-10,187.83,20.95
2015-03-11,191.98,20.8
2015-03-12,192.75,21.0
2015-03-13,189.91,20.84
2015-03-16,193.76,21.61
2015-03-17,196.77,22.61
2015-03-18,199.45,23.01
2015-03-19,195.28,22.59
2015-03-20,193.15,22.99
2015-03-23,195.08,23.12
2015-03-24,195.69,23.49
2015-03-25,192.78,23.01
2015-03-26,198.56,24.51
2015-03-27,194.55,24.29
2015-03-30,196.77,25.3
2015-03-31,195.96,24.54
2015-04-01,195.34,24.55
2015-04-02,194.58,24.76
2015-04-03,196.81,24.61
2015-04-07,200.67,25.0
2015-04-08,204.5,24.82
2015-04-09,200.0,24.0
2015-04-10,200.22,24.4
2015-04-13,203.9,24.85
2015-04-14,206.0,25.43
2015-04-15,205.7,24.53
2015-04-16,226.27,26.38
2015-04-17,232.56,25.97
