date,code,close,volume,amount,name,display_code
2015-01-05,sh.600519,202.52,9451517,1875063136.0,贵州茅台,600519.SH
2015-01-06,sh.600519,197.83,5502001,1094977376.0,贵州茅台,600519.SH
2015-01-07,sh.600519,192.94,5479784,1063925648.0,贵州茅台,600519.SH
2015-01-08,sh.600519,191.76,4052530,777874672.0,贵州茅台,600519.SH
2015-01-09,sh.600519,190.31,5398220,1039955152.0,贵州茅台,600519.SH
2015-01-12,sh.600519,186.43,4991459,934643408.0,贵州茅台,600519.SH
2015-01-13,sh.600519,184.88,3670808,683429632.0,贵州茅台,600519.SH
2015-01-14,sh.600519,183.18,5240344,965036192.0,贵州茅台,600519.SH
2015-01-15,sh.600519,186.07,4858552,895503104.0,贵州茅台,600519.SH
2015-01-16,sh.600519,186.11,3997806,746304288.0,贵州茅台,600519.SH
2015-01-19,sh.600519,175.48,6467937,1151544272.0,贵州茅台,600519.SH
2015-01-20,sh.600519,178.08,6102274,1086018448.0,贵州茅台,600519.SH
2015-01-21,sh.600519,182.36,5267474,950750400.0,贵州茅台,600519.SH
2015-01-22,sh.600519,181.23,3825481,696541248.0,贵州茅台,600519.SH
2015-01-23,sh.600519,181.02,3308455,600627344.0,贵州茅台,600519.SH
2015-01-26,sh.600519,182.8,3564906,650642096.0,贵州茅台,600519.SH
2015-01-27,sh.600519,180.11,4188362,755025856.0,贵州茅台,600519.SH
2015-01-28,sh.600519,177.47,3068066,547979152.0,贵州茅台,600519.SH
2015-01-29,sh.600519,176.15,3249254,571553424.0,贵州茅台,600519.SH
2015-01-30,sh.600519,177.18,4750834,848744496.0,贵州茅台,600519.SH
2015-02-02,sh.600519,174.82,3398336,593379648.0,贵州茅台,600519.SH
2015-02-03,sh.600519,178.37,2779280,493512560.0,贵州茅台,600519.SH
2015-02-04,sh.600519,177.25,3529371,634135328.0,贵州茅台,600519.SH
2015-02-05,sh.600519,174.05,4123962,735861120.0,贵州茅台,600519.SH
2015-02-06,sh.600519,174.6,3710238,648205632.0,贵州茅台,600519.SH
2015-02-09,sh.600519,184.3,8729358,1584342288.0,贵州茅台,600519.SH
2015-02-10,sh.600519,182.88,5363887,984795856.0,贵州茅台,600519.SH
2015-02-11,sh.600519,183.15,2289479,420358864.0,贵州茅台,600519.SH
2015-02-12,sh.600519,183.57,2505098,458818624.0,贵州茅台,600519.SH
2015-02-13,sh.600519,182.49,4012705,734977408.0,贵州茅台,600519.SH
2015-02-16,sh.600519,183.31,3952108,722512096.0,贵州茅台,600519.SH
2015-02-17,sh.600519,182.22,3417255,624854080.0,贵州茅台,600519.SH
2015-02-25,sh.600519,183.96,5993512,1104113264.0,贵州茅台,600519.SH
2015-02-26,sh.600519,186.64,6229772,1163369600.0,贵州茅台,600519.SH
2015-02-27,sh.600519,191.05,6337094,1217723184.0,贵州茅台,600519.SH
2015-03-02,sh.600519,190.73,3109870,592027088.0,贵州茅台,600519.SH
2015-03-03,sh.600519,185.95,4299960,812905776.0,贵州茅台,600519.SH
2015-03-04,sh.600519,187.19,4066223,757815040.0,贵州茅台,600519.SH
2015-03-05,sh.600519,185.52,3620624,670609776.0,贵州茅台,600519.SH
2015-03-06,sh.600519,183.62,2547066,471454752.0,贵州茅台,600519.SH
